Job Title,Company,City,Work Mode,Description,Skills
Software Developer - Machine Learning (NLP),Coveo,"Quebec, Canada",Hybrid,"About the job
Enable NLP technology reuse across the company
As a Software Developer in Machine Learning, you will play a key role in supporting teams of applied scientists and ML developers who train, evaluate, and use a variety of NLP models, including LLMs.

Your team is the CoreNLP team, a mix of scientists and developers who provide reusable NLP technologies that accelerate delivery for the other teams in your unit. Your mission is to contribute to prototyping, productionizing, and maintaining the NLP technologies that power some of Coveo's most visible AI capabilities.

Here is what makes this opportunity exciting:
Your team is uniquely positioned to impact Coveo’s research and development efforts and offers one of the best environments to quickly get up to speed with state-of-the-art NLP technology.

The ML unit at Coveo focuses on finding ways to apply the latest advances in Recommender Systems, Ranking Optimization, LLMs and NLP to build innovative solutions in commerce, self-service and other business verticals. We solve real problems with real data, for hundreds of large enterprise clients all around the world, on a modern platform that serves over 100M requests and automatically trains thousands of ML models on a daily basis.

Here is a glimpse at your responsibilities:
Participate directly in every aspect of NLP technology delivery: requirements gathering, conception, implementation, automated testing, release, monitoring, maintenance, etc.
Along with the rest of your team, make continuous learning a weekly practice that ensures awareness of emerging opportunities in the field.
Identify current pain points in NLP research and development and deliver software that addresses them.
Engage with your community of peers to challenge the status quo, improve our shared ways of working, and influence overall architecture decisions.
Learn, utilize and evolve our data and tech stack which includes Python, AWS, Snowflake, Honeycomb and others.

Here is what will qualify you for the role:
3+ years of industry experience in Machine Learning, including maintaining internal tools and libraries relied on by other teams.
Strong fluency in data and software engineering best practices, with a proven ability to deliver reliable production code efficiently.
A collaborative mindset: you enjoy working closely with scientists to understand their challenges and improve their tools and workflows.
Experience with widely used NLP libraries such as Langchain, Haystack, and Transformers.

Here is what will make you stand out:
Familiarity with asynchronous programming.
Domain knowledge in areas like Natural Language Processing, Information Retrieval or Retrieval Augmented Generation, along with an understanding of the technical implications of building software for such use cases.
Excellent communication skills and the ability to clearly explain complex technical concepts to audiences with varying levels of technical proficiency.

Do you think you can bring this role to life?
You don’t need to check every single box; passion goes a long way and we appreciate that skillsets are transferable. Send us your CV, we want to get to know you! Join the #Coveolife!

We encourage all qualified applications regardless of, for example, age, gender, disability, gaps in CV, national or ethnic background. We know that applying for a new role is a lot of work and we really appreciate your time.

#li-hybrid #li-remote",[]
Senior Principal Researcher-NLP,Huawei Canada,,,"About the job
Huawei Canada has an immediate permanent opening for a Senior Principal Researcher.

About the team:

We are a growing, dynamic and diverse team driving AI innovation in a large organization with a vast network of R&D centers across the world. The NLP team in Huawei's Noah's Ark Lab is working on the future of Large Language Model (LLM). We are committed to training LLM, improving LLM, and applying LLM to many business scenarios both inside and outside Huawei Company to create value for our customers.

About the job:

Responsible for the development strategy, technical path, and key technology direction in the fields of NLP and Large Language Model.
Lead research, develop state-of the-art AI solutions and collaborate with product groups to deploy them in real-world settings.
Identify new and upcoming research areas by interacting with potential external and internal collaborators.
Publication, presentation, and contribution as a thought leader in the relative fields.
Apply your passion and out-of-the-box thinking to collaborate with a team of researchers.

Job requirements

About the ideal candidate:

Hold a PhD degree in Computer Science or related fields with a focus on NLP, Large Language Model, or equivalent practical experience.
Papers at relevant conferences such as ACL, EMNLP, NACAL, NeurIPS, ICML, ICLR, AAAI, etc.
In-depth hands-on experience in Python, PyTorch, TensorFlow etc. and a track record of translating ideas into research prototypes quickly.
Working or collaboration experience at/with industry research labs or technology companies is an asset.
Experience in neural network architecture design and Large Language Model techniques, familiar with Transformer and its variants, linear Transformers, state space models, and AutoML techniques.",[]
Senior Researcher - NLP,Huawei Canada,,,"About the job
Huawei Canada has an immediate permanent opening for a Senior Researcher.

About the team:

Founded in 2012, the Noah’s Ark lab has evolved into a prominent research organization with notable achievements in academia and industry. The lab’s mission focuses on advancing artificial intelligence and related fields to benefit the company and society. Driven by impactful, long-term projects, the aim is to enhance state-of-the-art research while integrating innovations into the company's products and services, including LLMs, RL, NLP, computer vision, AI theory, and Autonomous driving.

About the job:

Participate in applied research projects in Huawei by proposing new solutions, developing the solutions, and doing experiments
Training and developing models and Building prototypes
Deliver projects, presenting results, publishing in top AI conferences
Tracking the new advances in the NLP/AI field and bringing insights to the team

Job requirements

About the ideal candidate:

PhD graduate in Computer Science, Software Engineering, or related subjects
Publications in top-tier ML/NLP conferences (NeurIPS, ICML, ICLR, ACL, EMNLP, NAACL, etc. …)
Deep understanding of fundamentals and state-of-the-art techniques in NLP
Good theoretical grounding in machine learning techniques
Great coding skills in Python
Experience in machine learning and deep learning libraries such as TensorFlow or PyTorch
Experience using modern LLM training frameworks, such as Hugging Face and Megatron. 
Being familiar with modern LLM architectures, including transformers and linear transformer-based models such as LLaMA, QWEN, Mamba, GLA, and others",[]
Senior Machine Learning Engineer,Loopio,"Toronto, ON",Remote,"About the job
We’re seeking an experienced Senior Machine Learning Engineer to build and scale ML-powered features that help customers improve proposal quality, boost win rates, and increase team productivity. In this role, you’ll drive enhancements to dashboard usability, deliver tailored recommendations, and optimize workflows through actionable analytics—showcasing Loopio’s ROI to executive stakeholders. You’ll work across our platform portfolio, applying NLP and GenAI to power intelligent solutions that support users as they build their content library, review and import documents, search for answers, and collaborate on proposals.

This is a unique opportunity to join a growing, creative, and mission-driven team solving real-world problems with modern AI practices. You’ll collaborate closely with Product Managers, Engineers, Architects, and Data Scientists to deliver ML solutions that elevate the value our users experience across the platform.

What You’ll Be Doing
End-to-End ML & NLP Deployment: Design, build, and optimize scalable ML systems for NLP applications, including fine-tuning large language models (LLMs), deploying transformer-based architectures, and optimizing inference for real-time and batch workloads. Architect distributed ML solutions for large-scale data processing and efficient retrieval-augmented generation (RAG).
MLOps & Cloud Infrastructure: Implement best practices for ML lifecycle management, including model versioning, monitoring, and automation. Build robust CI/CD pipelines, integrate with feature stores and vector databases, and deploy models on cloud platforms (preferably AWS).
Software Engineering & Microservices: Develop high-performance ML systems using Python, deep learning frameworks (TensorFlow, PyTorch), and distributed computing frameworks (Spark). Build scalable microservices and APIs for real-time model serving using containerized (Docker, Kubernetes) and serverless (AWS Lambda, Kinesis) architectures. Strong Object Oriented Programming fundamentals to build modular and reusable code.
Agent Workflow Intelligence: Design and deploy ML-powered systems to enhance agent workflows through intelligent task orchestration, context-aware assistance, and real-time response optimization. Leverage LLMs to build agent copilots that integrate with CRM and ticketing platforms, delivering in-the-moment suggestions, summarizations, and action recommendations. Instrument workflows to capture agent behavior signals and feedback loops, enabling continuous learning and adaptive automation that improves efficiency, accuracy, and customer satisfaction.
Cross-Functional Collaboration: Work closely with Data Scientists, Engineers, and Product teams to productionize NLP models, ensuring alignment with business needs and maintaining robust, scalable AI-driven solutions.

What You’ll Bring to the Team
ML & NLP Expertise: 4+ years of experience in ML engineering, with strong expertise in NLP, LLMs, transformers, and RAG. Proven ability to fine-tune, optimize, and deploy large-scale NLP models.
MLOps & Cloud Engineering: Hands-on experience with ML pipeline automation, monitoring, and deployment using cloud services. Strong background in data engineering for scalable AI systems, including structured (MySQL, PostgreSQL) and NoSQL (Redis, Cassandra) databases.
Scalable Systems & Distributed Computing: Experience with performance optimization techniques for ML inference, distributed computing (Spark, Presto, Databricks), and real-time/batch processing pipelines.
Software Development & Microservices: Strong Python development skills, experience with API-driven architectures (REST, gRPC), and ability to build robust, maintainable ML services.
Agent Workflow Optimization: Experience designing intelligent agent workflows and copilots powered by LLMs, including context-aware recommendations, task automation, and feedback-driven improvement loops. Proven ability to integrate ML solutions into agent-facing systems, enhancing efficiency and decision-making in real time.
Collaborative Problem Solving: Ability to work cross-functionally with product, engineering, and design teams effectively to translate business needs into AI solutions. Skilled at fostering alignment, sharing knowledge, and co-creating strategies that drive measurable impact.

Where You’ll Work 📍
Loopio is a remote-first workplace because we recognize the advantages of working flexibly. We are HQ’d in Canada, with established hub regions around the world where we hire from.
Our employees (or Loopers, as we call ourselves!) live and work in 🇨🇦 Canada (British Columbia and Ontario), 🇬🇧 London, and 🇮🇳 India (specifically in Gujarat, Maharashtra, and Bengaluru).
The majority of our team is based in ON and BC, which means these employees live and work remotely within a 300km radius of Toronto (within Ontario) and Vancouver (Within BC).
We offer flexible co-working locations available to Loopers in ON and BC. Those based in ON have the option of working out of our convenient co-working space located in the heart of Downtown Toronto and a 12-minute walk from Union Station. BC Loopers have the option to work centrally in Vancouver. It is whatever works best for you!
You’ll collaborate with your teams virtually across the UK, India, and North America (we’re just a Zoom call and Slack message away!) with core sync hours and focus time for headsdown work 🙇🏾 during the workday
We encourage asynchronous collaboration to effectively work as a global #OneTeam!

Why You’ll ♥️ Working at Loopio
Your manager supports your development by providing ongoing feedback and regular 1-on-1s, we leverage Lattice for our 1:1s and performance conversations
You will have the opportunity to elevate 🪄 your craft and the opportunity to explore your creativity, with a dedicated professional mastery allowance for more learning support! We encourage experimentation and innovative thinking to drive business impact.
We offer a wide range of health and wellness benefits to support your physical and mental well-being, starting day 1️⃣ with Loopio.
We’ll set you up to work remotely with a MacBook laptop 🍏, a monthly phone and internet subsidy, and a work-from-home budget to help get your home office all set up.
You’ll be joining a supportive culture that has thoughtfully built out opportunities for connections in a remote first environment.
Participate in 🎤 townhalls, AMA (Ask-Me-Anything), and quarterly celebrations to celebrate the big wins and milestones as #oneteam!
Our four active Employee Resource Groups offer opportunities for employees to learn and connect year-round.
You’ll be a part of an award-winning workplace 🏆with an opportunity to make a big impact on the business.",[]
Software Developer - Machine Learning,Coveo,"Montreal, QC",Hybrid,"About the job
Enable NLP Technology Reuse Across The Company

As a Software Developer in Machine Learning, you will play a key role in supporting teams of applied scientists and ML developers who train, evaluate, and use a variety of NLP models, including LLMs.

Your team is the CoreNLP team, a mix of scientists and developers who provide reusable NLP technologies that accelerate delivery for the other teams in your unit. Your mission is to contribute to prototyping, productionizing, and maintaining the NLP technologies that power some of Coveo's most visible AI capabilities.

Here Is What Makes This Opportunity Exciting

Your team is uniquely positioned to impact Coveo’s research and development efforts and offers one of the best environments to quickly get up to speed with state-of-the-art NLP technology.

The ML unit at Coveo focuses on finding ways to apply the latest advances in Recommender Systems, Ranking Optimization, LLMs and NLP to build innovative solutions in commerce, self-service and other business verticals. We solve real problems with real data, for hundreds of large enterprise clients all around the world, on a modern platform that serves over 100M requests and automatically trains thousands of ML models on a daily basis.

Here Is a Glimpse At Your Responsibilities

Participate directly in every aspect of NLP technology delivery: requirements gathering, conception, implementation, automated testing, release, monitoring, maintenance, etc.
Along with the rest of your team, make continuous learning a weekly practice that ensures awareness of emerging opportunities in the field.
Identify current pain points in NLP research and development and deliver software that addresses them.
Engage with your community of peers to challenge the status quo, improve our shared ways of working, and influence overall architecture decisions.
Learn, utilize and evolve our data and tech stack which includes Python, AWS, Snowflake, Honeycomb and others.

Here Is What Will Qualify You For The Role

3+ years of industry experience in Machine Learning, including maintaining internal tools and libraries relied on by other teams.
Strong fluency in data and software engineering best practices, with a proven ability to deliver reliable production code efficiently.
A collaborative mindset: you enjoy working closely with scientists to understand their challenges and improve their tools and workflows.
Experience with widely used NLP libraries such as Langchain, Haystack, and Transformers.

Here Is What Will Make You Stand Out

Familiarity with asynchronous programming.
Domain knowledge in areas like Natural Language Processing, Information Retrieval or Retrieval Augmented Generation, along with an understanding of the technical implications of building software for such use cases.
Excellent communication skills and the ability to clearly explain complex technical concepts to audiences with varying levels of technical proficiency.

Do you think you can bring this role to life?

You don’t need to check every single box; passion goes a long way and we appreciate that skillsets are transferable. Send us your CV, we want to get to know you! Join the #Coveolife!

We encourage all qualified applications regardless of, for example, age, gender, disability, gaps in CV, national or ethnic background. We know that applying for a new role is a lot of work and we really appreciate your time.",[]
Deep Learning Engineer,Numerator,,,"About the job
We’re reinventing the market research industry. Let’s reinvent it together.

At Numerator, we believe tomorrow’s success starts with today’s market intelligence. We empower the world’s leading brands and retailers with unmatched insights into consumer behavior and the influencers that drive it.

Numerator is looking for a passionate Deep Learning Software Engineer to join our growing Machine Learning team. This is a unique opportunity where you will get a chance to work with an established and rapidly evolving platform that handles millions of requests and massive amounts of events, and other data. In this position, you will be responsible for taking on new initiatives to design, build, deploy, and support high performance deep learning systems in a rapidly-scaling environment.

As a member of our team, you will make an immediate impact as you help build out and expand our technology platforms across several software products. This is a high growth and impact role that will give you tons of opportunity to drive decisions for projects from inception through production.

What You'll Do:

Develop and train deep learning models on computing clusters to perform NLP-related tasks, such as applying both pre-trained and custom transformers for NER, sequence classification, language modeling, etc. 
Build and maintain systems, APIs, and end-to-end data pipelines to deliver deep learning insights throughout all of Numerator’s products and platforms. 
Work closely with other deep learning engineers, MLOps engineers, product managers, and other teams, both internal and external stakeholders, owning a large part of the process from problem understanding to shipping the solution. 
Have the freedom to suggest and drive organization-wide initiatives while being part of providing the technical vision and strategy at Numerator. 

What You'll Bring to Numerator

2+ years experience building and deploying robust machine learning APIs in production environments (ideally cloud-based environments such as AWS or GCP). 
Background in the foundations of deep learning modeling with experience building high throughput, production quality deep learning pipelines for NLP, computer vision, information extraction/retrieval, or related practice 
Foundational understanding of Python, Pytorch, and Hugging Face transformers library 
Knowledge in the latest NLP-related algorithms and methods such as LLMs, transformers, sequence-to-sequence models, word and sentence embeddings, attention, information retrival etc 
Experienced software engineering, data modeling, and debugging/profiling fundamentals 
A Masters or PhD in Machine learning, Computer Science, Mathematics, Statistics, or another quantitative discipline or 3+ years equivalent industry experience 

Nice to Haves:

Production experience with LLMs including RAG, Agenic patterns, and information retrieval techniques. LLM Self-hosting and training experience not required. 
Demonstrated ability to drive selection of machine learning approaches to solve specific problems coupled with the ability to clearly communicate tradeoffs 
Experience with one or more model inference optimization libraries (TensorRT, ONNX, torch script, etc) 
General software design patterns (REST, MVC, Auto-scaling, etc.) 
Experience supporting machine learning solutions for multiple languages",[]
Artificial Intelligence Engineer,Tilda Research,Greater Vancouver Metropolitan Area,Remote,"About the job
We're seeking an AI Engineer to assist us in designing, developing, and deploying machine learning models and AI systems across our products. You’ll work closely with data scientists, backend engineers, and product managers to bring cutting-edge AI capabilities to life in production environments.

What You'll Do
Design, train, and optimize machine learning models for a range of NLP tasks, including classification, prediction, and generative applications, based on project requirements
Fine-tune pre-trained models, including large language models (LLMs), to adapt them to domain-specific or task-specific objectives
Evaluate and deploy ML models using appropriate metrics and tools, ensuring model performance, robustness, and scalability across use cases. Responsibilities include designing evaluation strategies, conducting error analysis, and iteratively refining models for production readiness
Work with large-scale datasets, perform feature engineering, and build robust data pipelines
Collaborate with cross-functional teams to identify opportunities for AI-driven improvements
Deploy models into production using MLOps best practices (e.g., CI/CD, versioning, monitoring)
Develop APIs or services to integrate AI capabilities into applications
Stay current on state-of-the-art techniques in AI/ML and recommend relevant tools or approaches
Contribute to architecture discussions and help shape the roadmap for AI solutions

What We're Looking For
PhD Required, Computer Science, Machine Learning, Statistics, or a related field.
2–5 years of hands-on experience in applied machine learning or AI engineering
Proficient in Python and common ML libraries (TensorFlow, PyTorch, scikit-learn, Hugging Face, etc.)
Experience with large language models (LLMs), NLP, computer vision, or recommendation systems is a strong plus
Familiarity with model deployment tools and MLOps platforms (e.g., MLflow, SageMaker, Vertex AI, or Docker/Kubernetes)
Solid understanding of data structures, algorithms, and model evaluation techniques

Bonus Points For
Experience with generative AI (e.g., LLM fine-tuning, embeddings, vector databases)
Familiarity with graph neural networks, reinforcement learning, or time-series forecasting
Exposure to cloud platforms like AWS, GCP, or Azure",[]
Ingénieur NLP,Inacre Conseil inc,"Montreal, QC",Hybrid,"About the job
Rejoignez une équipe passionnée où développeurs, data scientists, linguistes et juristes unissent leurs forces pour réinventer la recherche d'information dans le domaine juridique.

Au quotidien, vous serez amené à :
Améliorer et enrichir un moteur de recherche juridique à la pointe de la technologie.
Développer un système d'analyse des clics pour mieux comprendre les comportements utilisateurs.
Créer un assistant de recherche intelligent propulsé par des modèles de langage (LLM).
Optimiser l'infrastructure backend pour un traitement de données rapide, fiable et évolutif.
Travailler main dans la main avec des experts en NLP, en science des données et en droit pour tester, affiner et innover constamment.
Participer à des campagnes de performance (précision, rappel, temps de réponse...) et ajuster les systèmes en conséquence.
Expérimenter des approches de pointe : prompting avancé, apprentissage par renforcement, ou combinaisons symbolique/neurale.

Ce que nous recherchons :
Expérience concrète en machine learning et en traitement du langage naturel (NLP).
Maîtrise des modèles de langage modernes (LLM), que ce soit via API, fine-tuning ou prompting avancé.
Solide background en Python (et/ou Java), en particulier dans des projets liés à l'IA et à la donnée.
À l'aise avec les outils clés : Hugging Face, spaCy, scikit-learn, PyTorch
Bonne compréhension des techniques de recherche d'information : TF-IDF, BM25, dense retrieval, RAG, etc.
À l'aise avec Git, les pipelines CI/CD et les environnements conteneurisés.
Autonomie dans la mise en place d'expériences robustes : tests A/B, suivi des performances, reproductibilité.
Français obligatoire

Atouts:
Intérêt ou expérience dans le domaine juridique ou la recherche documentaire spécialisée.
Connaissance des systèmes à grande échelle ou des architectures microservices.
Appétence pour les interfaces conversationnelles et les assistants IA.

Conditions et avantages : 
35h / semaine (horaire flexible).
1 journée par semaine au bureau.
4 semaines de vacances + 5 jours de maladies et congés supplémentaires aux fêtes.
Assurances collectives complètes et PAE.
REER 6%
Bonification annuelle de 15% garantie
Formations payées.

Si vous êtes intéressé, faites-nous parvenir votre candidature via notre site internet à https://www.careers-page.com/inacre ou par courriel à noemie.barthelet@inacre.ca
Nous remercions toutes les personnes qui proposeront leur candidature. Cependant, seules les personnes sélectionnées seront contactées pour une entrevue. Le masculin est utilisé seulement pour alléger le texte. Inacre Conseil Inc. souscrit au principe d'équité pour tous, en matière de sélection et de recrutement de personnel. Pour plus d'information, vous pouvez aller visiter notre site internet www.inacre.ca ou nous contacter par téléphone à (514) 405-5360.",[]
Copy of Senior Scientist - Automatic Natural Language Processing (ANLP),CRIM,"Montreal, QC",Hybrid,"About the job
We are looking for a senior scientist, specialized in automatic natural language processing (NLP), who is motivated to join a group of scientists and developers experienced in this field. The candidate should have concrete experience of implementing NLP solutions, and an interest in working with real data on industrial issues such as information extraction, classification, named entity recognition and sentiment analysis. He/she should have advanced experience of the latest state-of-the-art in generative models and deep learning.

He/she will be actively involved in the development of proofs of concept, cutting-edge prototypes, experimental development projects and applied research. He/she will be called upon to collaborate with specialized experts in various scientific fields, including data science, computer vision and speech processing.

To succeed in this position, the successful candidate will need to combine passions for linguistics, computer science and machine learning. He/she must have a keen interest in communication and customer relations, to understand industrial challenges and share his/her cutting-edge expertise

Description Of Responsibilities

Participate simultaneously in the implementation and supervision of several NLP projects addressing industrial issues
Propose and lead NLP research projects on topics of scientific and business development interest
Participate in the evaluation of new projects (technical complexity, challenges, feasibility, etc.). 
Participate in drafting service offers
Contribute to CRIM's scientific and technical outreach by organizing activities or disseminating relevant advances to the community through various channels. 
Keep knowledge up to date, contribute to internal and external scientific seminars to share know-how. 
Ensure and document in-depth scientific monitoring of advances in NLP and generative models and share this knowledge within CRIM. 

Qualifications Required

Doctorate in computer science or master’s degree with research experience, specializing in language processing
Minimum five (5) years of experience in NLP and machine learning
Excellent writing skills in a variety of contexts (scientific journals, technical documentation, popularization, etc.)
Demonstrable experience in text classification, named entity recognition, information extraction and retrieval, use of generative models
expertise in language models: fine-tuning, adaptation, hallucination management, model safety and ethics. 
Proficiency in Python and a deep learning library (Pytorch, Tensorflow)
Excellent understanding of deep learning applied to NLP, in particular Transformers
Written and oral proficiency in English and French 

Abilities

Technical leadership and ability to evolve successfully within a team of scientists and with other stakeholders
Curiosity and initiative to explore scientific and technological advances in the field
Quick to learn and adapt. Autonomy and initiative. Ability to work on several projects at the same time
Ability to synthesize and make decisions on scientific and technical issues at the heart of customer mandates
Ability to communicate, listen and share knowledge
Interest in receiving and giving constructive feedback

Good reasons to work at CRIM

Benefit from excellent employment conditions (comprehensive group insurance program, RRSP, telecommuting, vacation)
Enjoy a stimulating environment at the cutting edge of developments in artificial intelligence
Access state-of-the-art computational resources
Maintain a balance and quality of life between work and family with a flexible schedule
Take part in a weekly research seminar and benefit from time dedicated to the realization of creative and exploratory projects. 
Meet passionate people in a collaborative environment

CRIM is an equal opportunity employer and is committed to diversity. We value the development of ideas as a team and cultivate a work environment that is open and respectful of differences. We encourage all candidates to apply for this position. Thank you for your interest in CRIM!

This position is available immediately.

Join the CRIM team and work with passionate, dynamic people!",[]
"Applied Scientist II, Alexa Devices, GENIE Science",Amazon,,,"About the job
Description

We are a part of Amazon Alexa Devices organization with the mission “delight customers through contextual and personalized proactive experiences that keep customers informed, engaged, and productive without cognitive burden”.

We are developing an advanced system using Large Language Model (LLM) technologies to deliver engaging, intuitive, and adaptive content recommendations across all Amazon surfaces. We aim to facilitate seamless reasoning and customer experiences, surpassing the capabilities of previous machine learning models. We are looking for a passionate, talented, and resourceful Applied Scientist in the field of Natural Language Processing (NLP), Recommender Systems and/or Information Retrieval, to invent and build scalable solutions for a state-of-the-art context-aware speech assistant. A successful candidate will have strong machine learning background and a desire to push the envelope in one or more of the above areas. The ideal candidate would also enjoy operating in dynamic environments, be self-motivated to take on challenging problems to deliver big customer impact, shipping solutions via rapid experimentation and then iterating on user feedback and interactions.

Key job responsibilities

As an Applied Scientist on the team, you will collaborate with other applied scientists and engineers to develop novel algorithms to enable timely, relevant and delightful recommendations and conversations. Your work will directly impact our customers in the form of products and services that make use of various machine learning, deep learning and language model technologies. You will leverage Amazon’s heterogeneous data sources and large-scale computing resources to accelerate advances in the state of art.

Basic Qualifications

 PhD, or Master's degree and 3+ years of building machine learning models for business application experience
 3+ years of building models for business application experience
 Experience programming in Java, C++, Python or related language

Preferred Qualifications

 PhD in Electrical Engineering, Computer Sciences, or Mathematics with specialties in natural language processing, recommendation system, information retrieval
 2+ years experience in building machine learning or deep learning models for large scale customer facing product or features.
 Publications at peer-reviewed NLP/ML conferences (e.g. ACL, EMNLP, NAACL, NeurIPS, ICLR, ICML, AAAI)
 Solid software development experience
 Good written and verbal communication skills

Amazon is an equal opportunity employer and does not discriminate on the basis of protected veteran status, disability, or other legally protected status.

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.


Company - Amazon Development Centre Canada ULC - K03

Job ID: A2849828",[]
