Job Title,Company,City,Work Mode,Description,Skills
"Applied Scientist, Selling Partner Support Engagement Science",Amazon,,,"About the job
Description

At Amazon, we strive every day to be Earth’s most customer centric company. Selling Partner Support Engagement (SPSE) Science delivers on this by building AI-enhanced experiences and automation that help to provide world class support to our global network of selling partners. We building at the forefront of Gen AI applications, working to tackle the many challenges that we confront caused by the volume, diversity, and complexity of our selling partner's needs… and we are always striving to do better.

Do you want to join an innovative team who creatively applies techniques ranging from statistics and traditional machine learning to deep learning, natural language processing, and generative models? A team that drives our flywheel of improvement by hunting down opportunities to do better that are buried in tens of millions of solved cases? Are you interested in helping us redefine what world class support can be in an age of automation and AI, while prizing human empathy and ingenuity?

The SPSE Science Team is looking for an Applied Scientist to build statistical and machine learning solutions that help us understand and solve our most challenging problems. We need to better understand our Sellers and the problems they face, to augment our human workforce with smarter tools, to anticipate problems so that we are prepared to deal with them, to automatically diagnose and resolve issues, and to identify opportunities to grow and improve.

In this role, you will have ownership of the end-to-end development of solutions to complex problems and you will play an integral role in strategic decision-making. You will also work closely with engineers, operations teams, product owners to build ML pipelines, platforms and solutions that solve problems of defect detection, automation, and workforce optimization.

Basic Qualifications

 3+ years of building models for business application experience
 PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience
 Experience in patents or publications at top-tier peer-reviewed conferences or journals
 Experience programming in Java, C++, Python or related language
 Experience in any of the following areas: algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing, high-performance computing

Preferred Qualifications

 Experience with generative deep learning models applicable to the creation of synthetic humans like CNNs, GANs, VAEs and NF
 Experience in state-of-the-art deep learning models architecture design and deep learning training and optimization and model pruning
 Experience building machine learning models or developing algorithms for business application

Amazon is an equal opportunity employer and does not discriminate on the basis of protected veteran status, disability, or other legally protected status.

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.

The base salary for this position ranges from $149,300/year up to $249,300/year. Salary is based on a number of factors and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. Applicants should apply via our internal or external career site.


Company - Amazon Development Centre Canada ULC

Job ID: A2936271",[]
Radiological Technologist (P2A) Computed Tomography,Vancouver Coastal Health,,,"About the job
The salary range for this position is CAD $38.08/Hr. - CAD $47.55/Hr.

Come work as a Radiological Technologist with Vancouver Coastal Health!

Vancouver Coastal Health is looking for a Radiological Technologist to join the Computed Tomography team at UBC Hospital in Vancouver, BC and supporting Vancouver General Hospital. Apply today to join our team!

As a Radiological Technologist you will

Perform special procedure examinations in CT in accordance with departmental policy and procedures, observing safe radiation protection practices.
Perform duties including
receiving and completing requisitions,
entering relevant data into the radiology information system,
preparing examination trays and patients for specific procedures,
operating computerized imaging equipment including processing and archiving of acquired data,
monitoring patient during procedures,
monitoring equipment performance.
Education & Experience

Certification with the CAMRT.
Completion of an advanced specialty program in Computed Tomography and one (1) year recent, related experience including supervisory experience or an equivalent combination of education, training and experience.
Completion of an Intravenous Therapy training course when required by site practice.
Cardiopulmonary resuscitation (CPR) certification - Basic Life Support (BCLS) level.


Knowledge, Skills & Abilities

Demonstrated knowledge of the standards of practice and guidelines for Medical Imaging practitioners established by the CAMRT and/or other relevant national professional associations.
Demonstrated knowledge of evidence-based practice related to designated modality.
Demonstrated knowledge of organization policies, procedures and standards of care, including practice of safe work procedures with modality equipment.
Demonstrated knowledge of current General Radiography and CT theory and practices within a
client/family centred model of care.
Demonstrated knowledge and practice of safe work procedures with radiology equipment.
Demonstrated knowledge of research process and methodology.
Demonstrated knowledge of PACS/Radiology Information Systems, i.e. digital imaging, image archiving and retrieval.
Demonstrated ability to develop procedure protocols and manuals.
Demonstrated ability to communicate (orally and in writing) and deal effectively with clients and their families, coworkers, physicians, other health care staff, and staff of external agencies.
Demonstrated ability to supervise.
Demonstrated ability to deal with and/or guide others in resolution of conflict issues.
Demonstrated ability to work independently and in collaboration with others.
Demonstrated ability to plan and establish workload priorities in collaboration with others.
Demonstrated skill in CT techniques and the use of applicable equipment and supplies.
Demonstrated ability in CPR techniques.
Demonstrated computer skills with current computer applications.
General knowledge of Trauma Informed Practice and Harm Reduction approaches and Strengths-based care.
Demonstrated ability to promote Indigenous Cultural Safety.
Demonstrated ability to provide competent and culturally safe care in a variety of settings and with diverse populations.
Physical ability to perform the duties of the position.


A training opportunity may be considered.

The hours of work including days off and work area may be subject to change consistent with operational requirements and the provision of the Collective Agreement and applicable statutes. Successful applicants may be required to complete a Criminal Records Review Check.

As per Ministry of Health policy, all health care workers working in publicly-funded health care facilities are required to report their past receipt of certain vaccines or history of certain infections. Collecting these records will allow for offering of any missing vaccines, and for appropriate actions to be taken in the event of any future exposure to a communicable disease or during outbreaks. For all new hires and appointments to Vancouver Coastal Health, you will be asked to provide this information as part of the onboarding process.

WHY JOIN VANCOUVER COASTAL HEALTH?

VCH is a world class innovator in medical care, research and teaching, delivering service to more than one million BC residents. At VCH, we embrace thinking boldly, taking smart risks, and 'going first' when we believe it will lead to the best possible outcomes for patients and their families. We invite you to join us in creating healthy lives in healthy communities by showcasing our passion for care, connection to the communities we serve and our culture of teamwork that makes VCH a great place to work.

 Comprehensive health benefits package, including MSP, extended health and dental and municipal pension plan
 Grow your career with employer-paid training and leadership development opportunities
 Wellness supports, including counselling, critical incident and innovative wellness services are available to employees and their immediate families
 Award-winning recognition programs to honour staff, medical staff and volunteers
 Access to exclusive discount offers and deals for VCH staff


At Vancouver Coastal Health, our vision of healthy lives in healthy communities inspires us and our values and pillars guide us. We support equitable practices, diverse teams and inclusive environments, which are vital to creating welcoming spaces where everyone can bring their whole selves to work and feel supported. We encourage applications from equity-deserving communities, including Indigenous Peoples and members of racialized groups, people with disabilities and people of all gender identities and expressions and sexual orientation.

Vancouver Coastal Health is proud to be recognized as one of Canada's Top 100 Employers in 2024.

Only short-listed applicants will be contacted for this posting.

***Employees of VCH must apply online via the Internal Career Portal on CareerHub, you are currently viewing the External Career Portal. Refer to the https//my.vch.ca/working-here/job-postings site for instructions on how to view internal job postings and how to apply as an employee. Current VCH employees who apply to this posting using this external site will be considered as an external candidate. Seniority will not apply.***

Thank you for your interest in Vancouver Coastal Health.",[]
Sales Associate,tbooth wireless / la cabine t sans fil,,,"About the job
Mission 

Join tbooth wireless, a member of the Glentel family!

Glentel, an award-winning employer, is a billion-dollar+ company owned by Bell and Rogers. We partner with globally recognized brands like Costco, Apple, Samsung, and Google to deliver the latest mobile products and services to our customers. Operating for over 40 years, tbooth wireless is a Canadian wireless retailer with locations coast to coast. We're passionate about helping customers find wireless solutions that support their lifestyles.

tbooth wireless is looking for Full-Time Sales Associate to join us as we continue to grow and succeed! Want to be a part of our exciting journey — apply now!

Why Join Us?

 Competitive compensation, uncapped commissions plus hourly rate
 Career growth opportunities – take your sales career to next level!
 Generous discounts - 50% off your phone bill and 10% off cost price for accessories
 3 weeks' vacation and 5 sick days
 Excellent medical and dental plan, which includes an employee assistance program
 RRSP company match program

As a Full-Time Sales Associate, your day-to-day tasks will include:

 Provide personalized wireless solutions, including mobile phones, plans, and home internet services, while delivering exceptional customer service to our customers
 Use our proven sales approach to consistently meet and exceed both your individual and team sales targets
 Engage in continuous learning online training and hands-on experience to stay ahead in the industry
 Work closely with your team in a dynamic, fast-paced environment, adapting to the ever-evolving needs of our customers

 Profile 

Who You Are

 You love building connections with customers
 Self-motivated with an ability to problem solve on-the-fly
 A good communicator with strong interpersonal skills
 You are an enthusiastic learner with a desire for continual growth
 1 year of retail experience is an asset
 Available to work full-time, including weekends and evenings

 GLENTEL Inc. (dba WIRELESSWAVE, tbooth wireless, WIRELESS etc., WAVE SANS FIL, la cabine t sans-fil and SANS FIL etc.) encourages applications from all qualified candidates. In accordance with our accommodation policies and applicable provincial accessibility legislation, please advise us if you need accommodation in order to participate in the recruitment process. Any information you provide relating to accommodation will be addressed confidentially. 

Skills

Retail

Sales

customerservice",[]
Resident Engagement Assistant,Sienna Senior Living,,,"About the job
Resident Engagement Assistant – Aspira Retirement Living

At Sienna Senior Living, our commitment to enhancing the daily lives of our residents extends far beyond clinical care. Integral to this mission are our dedicated leaders and their teams who oversee vital functions such as culinary services, housekeeping, recreation, and maintenance. These roles are not just jobs; they embody the heart and soul of our purpose-drive culture, one that is centered on cultivating happiness in daily life!

We are currently seeking passionate individuals for the role of Resident Engagement Assistant, a pivotal position that supports the planning, delivery, and evaluation of programs designed to enhance our residents’ physical, emotional, social, and intellectual wellbeing. Working closely with the Resident Engagement Manager (REM), you will play a vital role in cultivating a vibrant and inclusive community where every resident feels valued and engaged.

What We Offer

We aspire to cultivate an environment and culture where team members feel valued, heard and empowered to do meaningful work. We offer a number of programs and benefits that support team members’ financial, personal and professional needs:

 A competitive salary and vacation package
 Health & Dental benefits program
 RRSP with employer match
 Share Ownership and Reward Program (SOAR)
 Employee Share Purchase Plan with company match
 Continuous learning and growth so you have the skillset needed to succeed and take on new challenges
 A welcoming culture that values diversity and differing perspectives, experiences and beliefs

What You Will Be Doing

 Track participation and engagement data per organization guidelines
 Support the completion of leisure profiles on new residents within 14 days of move-in, as directed by REM Maintain updates to daily events, posters, and designated leisure bulletin boards
 Assist in the completion and distribution of the monthly event calendar
 Respond to emails within 24-48 hours or on your next scheduled shift
 Attend all required meetings
 Ensure all IPAC and infection control protocols are adhered to
 Order and maintain departmental supplies and equipment as requested by REM
 Maintain and organize leisure areas and equipment to provide a positive “tour ready” experience
 Work cooperatively with volunteers, student, and community groups
 Maintain a positive image of the community through ongoing communications
 Adhere to established departmental policies and procedures regarding resident interaction and documentation of feedback, issues, and concerns
 Follow all health and safety policies and procedures. Work safely to reduce the risk of injury to self, co-workers, and residents
 Maintain a sound working knowledge of the role and your responsibilities during all emergency situations, even when working different shifts
 Participate in drills to prepare for emergencies and attend all education sessions in relation to emergency preparedness
 Immediately advise supervisor or designate of all team member incidents that may result in an Occupational Accident Claim; any concerns with the physical plant, incidents or injuries, and complete required reports
 Work in accordance with the organization’s Health and Safety Policies and Procedures and in compliance with the Occupational Health and Safety Act
 Perform other duties as required

Who You Are

 A passion and commitment to promote, elevate, and support the health and happiness of seniors through lifestyle wellness experiences, including special events, outings, small and large group programming, and fitness based offerings
 Must be able to set priorities and meet time and calendar deadlines; workload may fluctuate as resident needs and occupancy change
 Effective verbal and written English communication skills required
 A degree/diploma in Gerontology, Kinesiology, Human Kinetics, Therapeutic Recreation, Leisure Studies, Health Promotion, or Health Sciences
 Experience working with seniors, including an understanding of motivational concepts with seniors, as well as health, wellbeing, and leisure principles
 Certified to teach land group fitness, and where necessary aquatic fitness to seniors through a reputable organization, as approved by Sienna and/or willing to obtain within the first 60 days post hire
 Valid driver’s license and/or special class license (or willingness and ability to obtain within the first 6 months of employment) and clean driving record
 Current certificate in CPR and First Aid
 Certificate in Smart Serve/Serving It Right (or willingness and ability to obtain)
 Ability to meet the physical demands of the position, including lifting, portering, driving, leading fitness programs a minimum of twice daily etc.
 Familiarity with the provincial Occupational Health and Safety Act
 Proficiency in Word, Publisher, PowerPoint, and Excel, as well as virtual technologies such as Zoom, Skype, FaceTime etc.
 Additional certifications (i.e., specialized fitness, supporting people with dementia, etc.) considered a valuable asset

t You Need To Know

 Sienna Senior Living is committed to creating an inclusive environment where all team members and residents feel like they belong. We seek applicants with diverse backgrounds and have a wide range of abilities. Sienna provides an accessible candidate experience
 You must successfully pass a Vulnerable Sector Check and/or Criminal Record Check applicable to the appropriate province

Apply Now if you want to learn more!",[]
Senior Applied Scientist,Afresh,,,"About the job
Afresh is on a mission to eliminate food waste and make fresh food accessible to all. Our first A.I.-powered solution optimizes ordering, forecasting, and store operations for fresh food departments in brick-and-mortar grocers. With our Fresh Operating System, regional and national grocery retailers have placed $1.6 billion in produce orders across the US and we've helped our partners prevent 34 million pounds of food from going to waste. Working at Afresh represents a one-of-a-kind opportunity to have massive social impact at scale by leveraging uncommonly impactful software – we hope you'll join us!

About The Role

The Prediction, Optimization, and Planning (POP) team builds Afresh's core replenishment technology. Our models are directly responsible for ordering millions of dollars of fresh inventory across the world every day. Fresh food ordering is an extremely complex high-dimensional decision-making problem. We face the complex challenges presented by decaying product, uncertain shelf lives, varying consumer demand, stochastic arrival times, extreme weather events, and tight performance constraints (to name a few). We tackle these problems with a mix of machine learning, large-scale simulation, and optimization technologies.

As a Senior Applied Scientist at Afresh, you will take your existing knowledge of forecasting, simulation, and stochastic optimization and apply it to the challenging and important problem of perishable inventory control. You will research, implement, and rigorously validate improvements to our core replenishment system. This will include modeling consumer demand, item-level perishability, and complex multi-echelon supply chains. We do not require an explicit background in operations research for this position and welcome applicants from fields with similar problems.

Your work will be visible from day one, will make a substantial impact on decreasing food waste, and will lead to fresher, healthier produce for millions of people across the world.


You will work on improving the core models of our system: demand forecasting, inventory optimization, and ordering policy. You will also assist with research development for new product and business challenges. You will model the complex problems of inventory decay, promotions, price elasticity, and inventory uncertainty, and implement solutions to multi-stage and multi-echelon inventory optimization problems.
In your first 3 months, you will acquire an encyclopedic knowledge of perishable inventory control and Afresh's core decision making problem. You will gain proficiency in our data manipulation, transformation, and simulation tools, and you'll test an experimental improvement to our demand forecasting, ordering, or simulation models.
By the end of your first 6 months, you will have proposed, implemented, and rigorously validated an improvement to our core modeling system.
By the end of your first year, you will have led the implementation of fundamental changes to our core system and led research into new product areas (warehouse level replenishment, production planning).
We need to make optimal ordering decisions for millions of items for weeks at a time, and our system must be fault-tolerant to an extreme. Our partners rely on our system to order millions of dollars of inventory every week, and so your code must be rigorously validated, tested, and bug-proof.


Skills And Experience

The following represents attributes our ideal candidate possesses. We encourage all highly qualified candidates to apply, even if they do not fulfill all the listed criteria


A bachelors and 4+ years of industry experience, a masters with 2+ year of industry experience, or a PhD in a related field where you worked on systems that deal with large-scale decision making under uncertainty. Some possible prior research fields are machine learning, inventory optimization, climate modeling, genetics, supply chain management, computational biology, network optimization, physics, forecasting, mathematics, game theory, decision analysis, transportation engineering, environmental science, systems engineering, control engineering. or stochastic and approximate dynamic programming. 
Excellent communication and presentation skills. You should be able to explain complex mathematical ideas to product teams in plain English and easily translate business requirements into constrained optimization problems.
Ability to independently deliver high quality software implementations of your solutions in the Python data stack (numpy/torch/pandas/etc).


Salary Ranges for US:

Salary Range for Canada (in CAD):

About Afresh

Founded in 2017, Afresh is working on the #1 solution to curb climate change: reducing food waste. By combining human insight and transformative technology, we're helping grocers provide fresher food to customers at more affordable prices.

Afresh sits at an incredible intersection of positive social impact, rocket ship financial growth, and cutting-edge technology. Our best-in-class AI research has been published in top journals including ICML, and we've raised over $148 million in funding from investors including former co-CEO of Whole Foods Market Walter Robb and Eric Schmidt's Innovation Endeavors.

Fresh is the past, present, and future of our food system – the waste we create today will impact our planet for years to come. Join us as we continue to build a vibrant, diverse, and inclusive team that embodies our company’s values of proactivity, kindness, candor, and humility.

Afresh provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity/expression, marital status, pregnancy or related condition, or any other basis protected by law.

Here at Afresh, many of our employees work remotely provided that they reside in one of the following states: AR, CA, CO, FL, GA, IL, KY, MA, MI, MT, MO, NV, NJ, NY, NC, OR, PA, TX, WA, WI. However, there may be key roles that will require a candidate/employee to be local to our San Francisco, CA office. In which case this requirement will be included in the job posting details under ""Skills and experience"" for reference.",[]
"Applied Scientist, Amazon Ads",Amazon,,,"About the job
Description

Amazon Advertising is one of Amazon's fastest growing and most profitable businesses, responsible for defining and delivering a collection of advertising products that drive discovery and sales. Our products and solutions are strategically important to enable our Retail and Marketplace businesses to drive long-term growth. We deliver billions of ad impressions and millions of clicks and break fresh ground in product and technical innovations every day!

We are looking for an accomplished machine learning expert to lead the Applied Science strategy for our Media Planning Science program. In this role, you will work closely with business leaders, stakeholders, and cross-functional teams to drive program success through ML-driven solutions. You will shape the applied science roadmap, promote a culture of data-driven decision-making, and deliver significant business impact using advanced data techniques and applied science methodologies.

Key job responsibilities

As An Applied Scientist On This Team, You Will

 Serve as the technical leader in Machine Learning, guiding efforts within the team and collaborating with other teams.
 Conduct hands-on analysis and modeling of large-scale data to generate insights that boost traffic monetization and merchandise sales while maintaining a positive shopper experience.
 Lead end-to-end Machine Learning projects that involve high levels of ambiguity, scale, and complexity.
 Build, experiment, optimize, and deploy machine learning models, collaborating with software engineers to bring your models into production.
 Run A/B experiments, gather data, and perform statistical analysis to validate your models.
 Develop scalable and automated processes for large-scale data analysis, model development, validation, and serving.
 Explore and research innovative machine learning approaches to push the boundaries of what’s possible.

About The Team

The Media Planning Science team builds and deploys models that provide insights and recommendations for media planning. Our mission is to assist advertisers in activating plans that align with their goals. Our insights and recommendations leverage heuristic and machine learning models to simplify the complex tasks of forecasting, outcome prediction, budget planning, optimized audience selection and measurements for media planners. We integrate our insights into user interfaces and programmatic integrations via APIs, ensuring reliable data, timely delivery, and optimal advertising outcomes for our advertisers.

Basic Qualifications

 3+ years of building models for business application experience
 PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience
 Experience programming in Java, C++, Python or related language
 Experience in any of the following areas: algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing, high-performance computing

Preferred Qualifications

 3+ years of building machine learning models for business application experience
 Experience in professional software development
 Excellent verbal and written communication skills

Amazon is an equal opportunity employer and does not discriminate on the basis of protected veteran status, disability, or other legally protected status.

Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner.


Company - Amazon Development Centre Canada ULC

Job ID: A3035524",[]
Remote Tutor,"Varsity Tutors, a Nerdy Company","Brunswick, NB",Remote,"About the job
New Brunswick Trigonometry Tutor Job

Varsity Tutors is looking for experts like you to tutor K-12 and college students online in a variety of academic subjects!

By partnering with Varsity Tutors, teaching online is seamless and interactive. Some benefits of the platform include:

Conduct remote tutoring sessions from the comfort of your home (on laptop, desktop, tablet or mobile device) 
Easily access interactive learning tools, such as our whiteboard, practice questions, diagnostics/assessments and quizzes 
Connect with students around the country when it's convenient for you 
Access to a wide variety of tutoring opportunities - Varsity Tutors helps connect thousands of new students with tutors each month 

What's in it for you?

The opportunity to earn while working online, using the skills and experience you already have 
Set your own hours and schedule - flexible part-time work around your existing commitments 
Varsity Tutors will handle payment for you, so that you can focus on tutoring 
Share your knowledge and help students else achieve their goals 

About Varsity Tutors

We are revolutionizing the way the world learns. Our mission is simple: to help people learn! Varsity Tutors is a fast-growing education technology company that is revolutionizing how people learn with new and innovative technology. As a part of this vision we are looking to contract with educators to connect with students nationwide.",[]
"Pastry Cook, Banff Gondola",Pursuit Collection,,,"About the job
Your daily pursuit is preparing flavorful dishes that fuel our guests' adventures, using fresh, local ingredients to bring a taste of the region to every plate!

 What will your compensation be? 

The starting salary for this position is $20.00 per hour.

 What perks can you expect? 

 Join an inclusive, global team and make life-long connections. 
 Enjoy free access to Pursuit attractions and 50% off for friends. 
 Get discounts on hotel stays, dining, and retail. 
 Access subsidized mental health and wellness resources. 

 What will you do in this job? 

 Attention to maintaining a clean and efficient work environment 
 General food preparation as directed by Sous Chef/ Supervisor or above 
 Responsible use of Kitchen equipment as directed by Sous Chef/Supervisor or above 
 Clean and maintain kitchen equipment and cooking utensils as directed by Sous Chef/Supervisor or above 
 All food items packaged/portioned as per specifications provided 
 Maintain FIFO, labels, and dates 
 Assisting with shipping and receiving of product/packaged food items 
 Attention to maintaining a clean and efficient work environment 
 Assist in receiving duties as delegated 
 Ensuring that leftover food is stored properly 

 What skills and experience do you need for this job? 

 Demonstrate a positive attitude, strong sense of teamwork 
 Have some basic knowledge of baking and pastry techniques 
 Commitment to follow all safety standards, practices and requirements 
 Previous kitchen experience is an asset 
 Food Safe certification is an asset 
 Physically able to lift and carry up to 50lbs 
 Ability to work standing for extended periods of time 

 What will your work environment be like? 

 Beautiful. You’ll be work ing in the iconic, unforgettable and inspiring location . Regardless of what your role is with us, y ou’ll really get the chance to explore and see amazing scenery and wildlife within the Canadian Rockies. 
 Fun. You'll be meeting team members from across the globe and get to participate in tons of team events. 
 Independent. You’ll spend your days in and around our amazing properties. 
 Remote. Our home is filled with trees, lakes, and blue-bird skies; rather than buildings, freeways, and smog. 
 Busy. You need to be prepared for a physical working environment with walking, stair climbing, bending, reaching, lifting (up to 50 pounds with assistance ) as required 

We work as a team and believe that we succeed together – these job duties may change based on the needs of the team and company as a whole.

 EEO 

Pursuit is an Equal Opportunity Employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, colour, age, religion, gender, sexual orientation, disability, veteran status, and other protected characteristics.

Pursuit places a high value on diverse backgrounds and experiences, recognizing that they serve as catalysts for creativity and innovation. We encourage individuals who are eligible to work in Canada to apply and join our inclusive team!

We are working to eliminate barriers for applicants and team members from equity-deserving groups. If you are unable to complete the application process online, or if you require accommodation related to a protected ground under the Canadian Human Rights Act during the application or hiring process, please contact our Talent Acquisition Team at BJCtalent@pursuitcollection.com or drop in to one of our offices to hand in a resume if you do not have access to a computer. We thank all candidates for their interest; however, please note that only applicants selected for further consideration will be contacted.",[]
Registered Nurse or Registered Psychiatric Nurse,Island Health,,,"About the job
Job Description

In accordance with the Vision, Purpose, and Values, and strategic direction of Island Health (Vancouver Island Health Authority), patient and staff safety is a priority and a responsibility shared by everyone; as such, the requirement to continuously improve quality and safety is inherent in all aspects of this position.

Reports to the Nurse Manager, Department Head, or designate. Nurses are expected to assess patients/residents, to plan and carry out nursing care and teach patients and families. They collaborate with other health professionals and communicate with other hospital departments to coordinate the Medical Plan of Care with hospital routines and services, in the best interest of the patient/resident.

QUALIFICATIONS:Education, Training And Experience

Registration with BC College of Nurses and Midwives as a practicing RN registrant or a practicing RPN registrant. Up to two years' recent related experience.

Skills And Abilities

Ability to communicate effectively both verbally and in writing.
Demonstrated ability to organize assigned workload and set priorities.
Demonstrated ability to deal effectively with a variety of internal and external contacts, including co-workers, physicians, community agency representatives, patients, residents and families.
Physical ability to perform the duties of the position.

Link To Full Job Description

https://jd.viha.ca/JD1004.pdf",[]
Superviseur mécanique,Gold Fields Windfall,,,"About the job
Groupe Minier Windfall est une société d’exploration minière axée sur l’acquisition, l’exploration et le développement de propriétés de ressources en métaux précieux au Canada. Notre principal objectif consiste à créer de la valeur pour toutes nos parties prenantes, notamment nos actionnaires, nos employés et nos communautés d’accueil. Afin de soutenir nos opérations, nous sommes à la recherche d’un Superviseur mécanique.

Description Du Poste

Relevant du surintendant équipements mobile, le superviseur mécanique aura le mandat de participer et diriger les travaux d’entretien des équipements roulants et certains équipements fixes. Il devra assurer la gestion efficace de la maintenance afin d’en maximiser le rendement. . Il devra assurer la gestion efficace de la maintenance afin d’en maximiser le rendement. Basé au site Windfall, situé dans la région du Nord-du-Québec, il sera appelé à travailler sur un horaire de 15 jours de travail suivi de 13 jours de congé (jour et nuit). Transport, hébergement et repas fournis.

Tâches et responsabilités 

Effectuer les réparations sur les équipements de surface et souterrains;
Participer à la résolution de problèmes afin d’améliorer les équipements et les activités d’entretien;
Assurer les suivis des réparations des équipements roulants et certains équipements fixes;
Aider dans l’optimisation des programmes d'entretiens préventifs en fonction des disponibilités des équipements et valider l’efficacité des modifications et des entretiens apportés;
S’assurer de la disponibilité maximale de la flotte d’équipements roulants en respectant les budgets déterminés par la direction;
Assurer la communication entre les départements et les fournisseurs d’équipements;
Participer aux rencontres quotidiennes de début de quart;
Participer aux différentes rencontres reliées au projet (clients, fournisseurs, contracteurs)
Documenter les instructions diverses (installation, troubleshooting, etc.);
Participer à l’installation de nouveaux équipements et leurs intégrations au plan de maintenance préventive;
Veiller à la prévention et à la sécurité des différents équipements roulants et faire respecter les consignes et procédures;
Diagnostiquer des problèmes de nature technique et faire les recommandations nécessaires;
Superviser les travaux des sous-traitants reliés à l’entretien technique;
Supporter le planificateur entretien dans l’exploitation, la gestion et l’amélioration du programme d'entretien préventif;
Respecter en tout temps les politiques et règles en matière de santé - sécurité du travail et d' environnement et s'assurer du respect de ces règles par le personnel;
Effectuer toute autre tâche connexe au poste de superviseur mécanique étant pertinente à la réussite du projet.

Compétences de base

Démontrer du leadership;
Aptitude en résolution de problème;
Aptitude en communication;
Être axé sur l'amélioration continue;
Être un excellent joueur d’équipe, faire preuve de tact et de sens politique;
Avoir un bon sens de l’organisation et une bonne capacité à reconnaître les priorités;
Être autonome, posséder de l’initiative et être capable de traiter plusieurs dossiers simultanément;
Être rigoureux et faire preuve d’éthique et d’intégrité.

Compétences techniques

Maîtriser la Suite Office.
Connaître les principes d'amélioration continue et en gestion de projets;
Connaître la technologie des équipements miniers;
Savoir utiliser différents logiciels associés à l’entretien ex: SAP, un atout;
Bilinguisme, un atout (aura à communiquer avec des travailleurs anglophones).

Qualifications Requises

Posséder un diplôme d’études collégiales (DEC) en mécanique ou une technique équivalente appropriée ou DEP en mécanique ou électromécanique ou expérience pertinente en mécanique (5-10 ans d’expérience);
Expérience en supervision de mécanique mobile (minimum de 5 ans d’expérience);
Détenir un permis de conduire classe 5 valide;
Détenir un permis d’explosifs;
Avoir réussi les modules miniers 1-2-3-4-5 et 7.",[]
