Job Title,Company,City,Work Mode,Description,Skills
"Senior Research Engineer, Computer Vision",Autodesk,"Toronto, ON",Hybrid,"About the job
Job Requisition ID #

25WD87975

Autodesk Research is seeking a Senior Research Engineer with Computer Vision expertise. We are developing next-generation tools, within various disciplines including robotics, to support bringing Research ideas to life.

The ideal candidate will have expertise working with computer vision algorithms, deep learning models, and modern AI frameworks for image and video analysis. They should be comfortable understanding and integrating existing codebases, designing scalable architectures, and building future-proof systems. As part of a research-focused team, the candidate should thrive in an agile environment, be ready to quickly adapt to changing requirements, and contribute to designing a system that fosters smooth collaboration among users.

Responsibilities

Design, develop, and optimize computer vision algorithms for object detection, pose estimation, segmentation, tracking, and image/video analysis
Evaluate and benchmark different deep-learning based computer vision models, ensuring high accuracy, performance, and efficiency
Design and implement a system architecture that supports extensibility and future development.
Research and integrate third-party robotics, perception and machine learning software libraries as needed.
Contribute to the development of documentation, code reviews, and best practices for the team.
Troubleshoot and resolve any issues related to integration, performance, or functionality.

Minimum Qualifications

BS/MS in Computer Science, Software Engineering, or a related field, or equivalent work experience.
Excellent programming & software development skills using Python and modern C++.
2+ years of experience developing computer vision applications with a focus on deep-learning approaches, including object detection, pose estimation, segmentation, and video/image analysis.
Familiarity with version control systems such as Git.
An excellent communicator, writer, and a team player.
Travel to U.S. locations as needed will be required

Preferred Qualifications

Experience in building extensible and modular systems.
Experience working with large codebases.
Proficiency with computer vision libraries and tools (e.g., OpenCV, YOLO, Segment Anything, Detectron2)
Understanding of AI/ML concepts, with hands-on experience in training and fine-tuning models using frameworks such as PyTorch or TensorFlow
Experience with computer vision for robotics is preferred

Learn More

About Autodesk

Welcome to Autodesk! Amazing things are created every day with our software – from the greenest buildings and cleanest cars to the smartest factories and biggest hit movies. We help innovators turn their ideas into reality, transforming not only how things are made, but what can be made.

We take great pride in our culture here at Autodesk – our Culture Code is at the core of everything we do. Our values and ways of working help our people thrive and realize their potential, which leads to even better outcomes for our customers.

When you’re an Autodesker, you can be your whole, authentic self and do meaningful work that helps build a better future for all. Ready to shape the world and your future? Join us!

Salary transparency

Salary is one part of Autodesk’s competitive compensation package. Offers are based on the candidate’s experience and geographic location. In addition to base salaries, we also have a significant emphasis on discretionary annual cash bonuses, commissions for sales roles, stock or long-term incentive cash grants, and a comprehensive benefits package.

Diversity & Belonging

We take pride in cultivating a culture of belonging and an equitable workplace where everyone can thrive. Learn more here: https://www.autodesk.com/company/diversity-and-belonging

Are you an existing contractor or consultant with Autodesk? 

Please search for open jobs and apply internally (not on this external site).",[]
"Senior Research Engineer, Computer Vision",Autodesk,Canada,Remote,"About the job
Job Requisition ID #

25WD87975

Autodesk Research is seeking a Senior Research Engineer with Computer Vision expertise. We are developing next-generation tools, within various disciplines including robotics, to support bringing Research ideas to life.

The ideal candidate will have expertise working with computer vision algorithms, deep learning models, and modern AI frameworks for image and video analysis. They should be comfortable understanding and integrating existing codebases, designing scalable architectures, and building future-proof systems. As part of a research-focused team, the candidate should thrive in an agile environment, be ready to quickly adapt to changing requirements, and contribute to designing a system that fosters smooth collaboration among users.

Responsibilities

Design, develop, and optimize computer vision algorithms for object detection, pose estimation, segmentation, tracking, and image/video analysis
Evaluate and benchmark different deep-learning based computer vision models, ensuring high accuracy, performance, and efficiency
Design and implement a system architecture that supports extensibility and future development.
Research and integrate third-party robotics, perception and machine learning software libraries as needed.
Contribute to the development of documentation, code reviews, and best practices for the team.
Troubleshoot and resolve any issues related to integration, performance, or functionality.

Minimum Qualifications

BS/MS in Computer Science, Software Engineering, or a related field, or equivalent work experience.
Excellent programming & software development skills using Python and modern C++.
2+ years of experience developing computer vision applications with a focus on deep-learning approaches, including object detection, pose estimation, segmentation, and video/image analysis.
Familiarity with version control systems such as Git.
An excellent communicator, writer, and a team player.
Travel to U.S. locations as needed will be required

Preferred Qualifications

Experience in building extensible and modular systems.
Experience working with large codebases.
Proficiency with computer vision libraries and tools (e.g., OpenCV, YOLO, Segment Anything, Detectron2)
Understanding of AI/ML concepts, with hands-on experience in training and fine-tuning models using frameworks such as PyTorch or TensorFlow
Experience with computer vision for robotics is preferred

Learn More

About Autodesk

Welcome to Autodesk! Amazing things are created every day with our software – from the greenest buildings and cleanest cars to the smartest factories and biggest hit movies. We help innovators turn their ideas into reality, transforming not only how things are made, but what can be made.

We take great pride in our culture here at Autodesk – our Culture Code is at the core of everything we do. Our values and ways of working help our people thrive and realize their potential, which leads to even better outcomes for our customers.

When you’re an Autodesker, you can be your whole, authentic self and do meaningful work that helps build a better future for all. Ready to shape the world and your future? Join us!

Salary transparency

Salary is one part of Autodesk’s competitive compensation package. Offers are based on the candidate’s experience and geographic location. In addition to base salaries, we also have a significant emphasis on discretionary annual cash bonuses, commissions for sales roles, stock or long-term incentive cash grants, and a comprehensive benefits package.

Diversity & Belonging

We take pride in cultivating a culture of belonging and an equitable workplace where everyone can thrive. Learn more here: https://www.autodesk.com/company/diversity-and-belonging

Are you an existing contractor or consultant with Autodesk? 

Please search for open jobs and apply internally (not on this external site).",[]
Researcher – Computer Vision and Autonomous Driving,Huawei Canada,,,"About the job
Huawei Canada has an immediate permanent opening for a Researcher. 

About the team:

Founded in 2012, the Noah’s Ark lab has evolved into a prominent research organization with notable achievements in academia and industry. The lab’s mission focuses on advancing artificial intelligence and related fields to benefit the company and society. Driven by impactful, long-term projects, the aim is to enhance state-of-the-art research while integrating innovations into the company's products and services, including LLMs, RL, NLP, computer vision, AI theory, and Autonomous driving.

About the job: 

Independently contribute to research and development efforts within the areas of computer vision and autonomous driving.
Collaborate closely with cross-functional teams (e.g., planning, perception) to integrate computer vision solutions into the broader autonomous driving system.
Mentor and guide junior engineers and interns, fostering a collaborative and innovative team environment.
Contribute to the development of our intellectual property portfolio through patent filings and publications.
Stay abreast of the latest research and advancements in computer vision and machine learning. Proactively identify opportunities for innovation. 
Independently manage projects and deliver high-quality results within established timelines.

Job requirements

About the ideal candidate:

Advanced degree (Ph.D. is an asset) in Computer Science, Robotics, or a related field with a focus on computer vision and machine learning.
Deep understanding of computer vision algorithms and techniques, e.g., 3D reconstruction, generative AI, visual recognition, semantic segmentation, etc.
Proven expertise in applying computer vision algorithms for real-world application.
Strong programming skills in Python and C++, with experience using deep learning frameworks (PyTorch, TensorFlow).
Excellent problem-solving and analytical skills, with the ability to tackle complex technical challenges.
A strong publication record in top-tier AI conferences/journals (e.g., CVPR, ICCV, ECCV, NeurIPS, ICML, ICLR, AAAI, etc.).",[]
Computer Vision Engineer,DeepRec.ai,"Toronto, ON",Remote,"About the job
Senior Computer Vision Engineer – Robotics (Remote, Canada Based)
A well-funded robotics startup is scaling up after successful deployments of its AI-powered automation platform in manufacturing environments. They're looking for a hands-on Senior CV Engineer or Researcher to join their Perception team.

What you'll do:
Build and optimize CV algorithms for 6DoF pose estimation, instance segmentation, and point cloud processing
Develop methods for 3D feature extraction to support robotic manipulation tasks
Lead R&D efforts across the perception stack
Mentor engineers and uphold code quality standards
Work on real-world automation problems in dynamic factory settings

What they're looking for:
5+ years in computer vision and deep learning (PyTorch or TensorFlow)
Expertise in 3D vision, object detection, or camera calibration
Strong coding skills in Python (C++ a bonus)
Experience deploying AI models to production
Published at CVPR, ICRA, ECCV, or similar",[]
Computer Vision Engineer | Real-Time Perception for Robotics & Self-Driving Systems | On-Site (Toronto) | $130K–$180K + Equity,White Bay,,,"About the job
The Company
White Bay’s client is a forward-thinking robotics startup transforming smart home environments using real-time AI and perception systems. Founded by a designer-engineer, they’re building a product ecosystem where machines interact intelligently with the physical world—beyond traditional rule-based automation.

Instead of basic triggers and scripts, their platform is powered by full-body and hand motion tracking. They’re creating systems that can see, interpret, and respond to human behavior in real time, similar to the perception challenges seen in autonomous vehicles. Backed by a strong research team, they’re now doubling down on engineering execution—with a clear path to commercial launch.

The Role
White Bay’s client is hiring a Computer Vision Engineer for a full-time, on-site role in Toronto. This is a product-facing, execution-first position focused on real-world deployment, not experimentation. You'll build and ship perception systems for robotics—pushing CV pipelines from concept into live environments under production constraints.

This role is ideal for someone who has worked on perception stacks in self-driving cars, robotics, or other real-time edge deployments involving sensor fusion, 3D reconstruction, and embedded performance optimization.

Key Requirements
Self-Driving / Autonomous Systems Experience (Must-Have): Direct exposure to building perception systems for self-driving cars, either at major OEMs (Tesla, GM, Waymo, etc.), their subsidiaries, or third-party vendors supporting autonomous vehicle development. Candidates without this will be a hard pass.
Computer Vision (5+ years): Solid background in CV model development, sensor data fusion, and live inference using camera, depth, and LIDAR streams.
Production-Grade Deployment: You’ve shipped real CV-powered products, not just demos or academic prototypes.
Programming: Strong skills in Python and C++, with a focus on performance, reliability, and modularity.
Sensor Fusion: Able to combine multimodal data (RGB, depth, IMU, etc.) into usable perception logic.
Embedded + Edge Experience: Proven ability deploying models to embedded systems or robotics stacks.
Builder’s Mindset: You move fast, think pragmatically, and ship under constraints.

Responsibilities
Build and deploy real-time vision pipelines to power intelligent robotics.
Integrate CV systems with robotic platforms, actuators, and sensors.
Work closely with AI researchers to optimize and productize models.
Own deployment, performance tuning, and reliability testing in live environments.
Bring a delivery-first mentality—this team is shipping, not publishing.

Why Apply?
The company has no shortage of research firepower. What they need is a strong builder—someone who can take vision systems all the way to production. If you've worked on perception for self-driving cars, industrial robots, or complex sensor-driven systems, this is a unique opportunity to bring those skills into a new, high-impact environment.
This isn’t theoretical—it’s a real robotics product headed for the market. One of their senior engineers is transitioning out, and they’re actively looking to fill that execution-focused gap with someone who’s shipped before.

Compensation & Details
Salary: $130,000 – $180,000 CAD depending on experience
Equity: Available after 1 year (negotiable for the right candidate)
Location: On-site only (Toronto)
Hours: Structured 9:00 AM – 6:30 PM workday
Team: Work alongside elite AI researchers and engineers
Product: Contribute directly to the launch of a first-of-its-kind AI robotics platform

Ready to Apply?
If you’re excited by robotics, real-time perception, and deploying AI into the real world—and you’ve seen the complexity of AV or self-driving environments firsthand—this role was built for you.

 Submit your application now or follow us on LinkedIn for updates: https://www.linkedin.com/company/white-bay-search/

#welcometowhitebay
#dylanhorgan",[]
Senior Computer Vision Engineer,Birdseye Security Solutions,"Mississauga, ON",Hybrid,"About the job
COMPANY OVERVIEW:

Birdseye’s mission is to help make the world a safer place!

We are the leader in AI-driven Remote Facility Supervision solutions for the Trucking and Logistics Industry. Our Maximum Telepresence Approach™ delivers cutting-edge, data-driven security and operational insights that create a safer working environment for millions of people every year.

We provide end-to-end, cutting-edge hardware and AI-driven solutions, redefining security beyond traditional gatehouses. By empowering our professionally trained monitoring agents, we achieve 99.99% reporting accuracy in mission-critical security, safety, and operational support -24/7/365- for some of the world’s largest logistics facilities, as well as small and medium-sized businesses.

If you're ambitious, thrive in a fast-paced environment, and align with our ICARE values, Birdseye will be the perfect fit for you. If you’re wondering what the world will look like in 10 years - join our Team!

As a member of our team, you will have the opportunity to work on cutting-edge AI projects, collaborate with some of the brightest minds in the industry, and grow both personally and professionally. We believe in providing our employees with the resources and support they need to succeed, and we are committed to helping you reach your full potential.

In addition to a competitive salary and benefits package, we offer a range of perks and perks such as flexible work hours, remote work options, and opportunities for professional development. We also have a strong culture of teamwork and collaboration, and we believe that everyone's contributions are valuable and appreciated.

Responsibilities:

Design AI algorithms for a broad range of applications relating to the site-monitoring industry (facial recognition, OCR, object detection, object tracking)
Regular maintenance and improvement of existing services
Ensuring functionality and optimization of services via regular testing and feedback
Researching new technology and tools
Communicating in a clear and structured way with colleagues and managers to ensure optimal collaboration and teamwork
Following the agreed team or project processes and procedures, including reporting to superiors on status of project/release/task efforts and key issues

Requirements:

Degree in any field relating to computational methods
Experience in designing classical and modern computer vision algorithms pertaining to any of the following: image denoising, facial recognition, OCR, object detection/tracking
Strong knowledge in modern AI methods with experience designing custom architectures
Excellent programming skills in Python or C++
Experience in MLOps is a plus
Experience with AI on Cloud/Edge is a plus
English speaking and writing proficiency

This role will require the candidate to complete background checks (includes but not limited to: references, educational verification, criminal check, credit check - where applicable). Certain roles may also require testing.",[]
Associate Researcher - Computer Vision,Huawei Canada,,,"About the job
Huawei Canada has an immediate contract opening for an Associate Researcher. 

About the Team:

Founded in 2012, the Noah’s Ark lab has evolved into a prominent research organization with notable achievements in academia and industry. The lab’s mission focuses on advancing artificial intelligence and related fields to benefit the company and society. Driven by impactful, long-term projects, the aim is to enhance state-of-the-art research while integrating innovations into the company's products and services, including LLMs, RL, NLP, computer vision, AI theory and Autonomous driving.

About the Job:

Invent state-of-the-art AI and computer vision algorithms to be published in top AI/CV conferences.
Design and implement AI/CV solutions to real-world problems and land them in various Huawei products.
Support R&D in the domains of 3D digitalization, 3D geometry and texture editing, human motion synthesis, 3D character animation and human-machine interaction.

Job requirements

About the Ideal Candidate:

PhD or Masters in Computer Science or related fields with a focus on computer vision and machine learning.
You have been working in the areas of artificial intelligence, machine learning, computer vision and computer graphics.
Experienced in multi-view geometry, depth estimation, neural rendering, human motion analysis and generation.
Published Papers at relevant conferences such as CVPR, ICCV, ECCV, NeurIPS, ICML, ICLR, AAAI, IJCAI, etc.
Experienced in Python, TensorFlow, PyTorch etc. and a track record of translating ideas into research prototypes quickly.
Experienced building large-scale machine learning solutions for general computer vision topics, or 3D Human/Object generation is an asset.",[]
"Senior Machine Learning Engineer, Autonomy Stack",Torc Robotics,,,"About the job
About The Company

At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.

A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.

Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.

About The Company

At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.

A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.

Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.

Meet the team

Torc's Autonomy Applications software utilizes cutting-edge deep learning techniques to perceive the vehicle's environment, predict the movements of other vehicles, and execute accurate driving decisions. We are actively seeking highly experienced senior machine learning engineers to join our model development department. This is an exceptional opportunity for you to have a significant impact on the future of the autonomous vehicle industry by leveraging AI.

What you'll do:

Develop and optimize computer vision, lidar and radar-based ML models 


Implementing monocular and stereo depth estimation algorithms.
Comprehending objects, lanes, obstacles, and weather conditions within the driving environment.
Enhance perception systems to process multi-modal sensor data effectively.
Utilizing data science techniques to analyze model performance, data distributions, and identify corner cases. 


Contribute to BEV Self-Driving Architectures 


Design and implement deep learning models for object detection, semantic segmentation, and voxel grid occupancy in BEV frameworks.
Integrate BEV representations into end-to-end planning and control pipelines.
Establish BEV level tracking capabilities 


Contribute to behavior level ML models 


Design and implement deep learning models for learned actor prediction
Fuse object tracking and actor prediction models
Design and implement learned trajectory planning models 


Data Management and Processing 


Develop efficient pipelines for large-scale data processing and annotation(pseudo-labeling) of sensor data (e.g., LiDAR point clouds, image frames).
Implement data augmentation, synthetic data generation, and domain adaptation strategies to improve model robustness. 


Model Deployment and Optimization 


Collaborating with conversion and deployment teams to ensure seamless integration.
Deploy machine learning models on edge devices, ensuring real-time performance and resource efficiency.
Optimize inference pipelines for embedded and automotive-grade hardware platforms. 


Cross-functional Collaboration 


Collaborate with robotics, software, and hardware engineering teams to ensure seamless integration of perception systems.
Work with product and operations teams to define performance metrics and improve system reliability. 


Leadership 


Contributing to the model development roadmap and providing strategic advice to technical leadership. 
Mentoring and guiding junior team members to enhance their technical skills and career growth. 


What you’ll need to Succeed: 


Bachelor's degree in computer science, data science, artificial intelligence or related field with 6+ years of professional experience or a master's degree with 4+ years of experience 
Scientific understanding of machine learning for at least one of the following
3D BEV space modeling 
Actor prediction 
Learned trajectory planning 
Autonomous driving end to end modeling 
Vision, lidar and radar-based object detection and classification 
Multimodal multitask machine learning 
Pixel – level processing tasks like depth estimation, segmentation, etc. 
Calibration, odometry, localization 
Tracking 
Experience with understanding data distributions and analyzing long tail distributions
Mastery of Python and PyTorch, with the ability to transition research level code to production and deployment ready standards 

Bonus points!


PhD in machine learning or data science
Proficient in writing CUDA kernels and developing custom PyTorch operations.
Experience with relevant NVIDIA libraries and frameworks, such as CUBLAS, CuDNN, and NPP
Proficiency with Ray 


Hiring Range for Job Opening 

Canada Pay Range (CAD) 


Senior: $160,800 - $193,000


Perks of Being a Full-time Torc’r

Torc cares about our team members and we strive to provide benefits and resources to support their health, work/life balance, and future. Our culture is collaborative, energetic, and team focused. Torc offers:


A competitive compensation package that includes a bonus component and stock options 
Medical, dental, and vision for full-time employees 
RRSP plan with a 4% employer match 
Public Transit Subsidy (Montreal area only.) 
Flexibility in schedule and generous paid vacation. 
Company-wide holiday office closures 
Life Insurance 


At Torc, we’re committed to building a diverse and inclusive workplace. We celebrate the uniqueness of our Torc’rs and do not discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, veteran status, or disabilities.

Even if you don’t meet 100% of the qualifications listed for this opportunity, we encourage you to apply.",[]
Computer Vision Developer,"ClearVision Technologies, Inc.",,,"About the job
ClearVision is involved in the design and manufacture of machine vision systems for quality control. Our primary customers are manufacturers in the paper, carton, and corrugated box industries. We assemble industrial cameras, sensors, our own lighting and control systems, industrial PCs, and touchscreen interfaces to create a complete inspection system. We then integrate this product with our customers' machinery on site.

Our camera systems inspect various high-speed processes including glue application, flexographic printing, barcoding, and braille dot embossing. Manufacturing and worldwide sales for the ClearVision brand are now handled by our parent company, Valco Melton, in Cincinnati, Ohio. This allows the ClearVision location in Mt. Pleasant, Vancouver to function as a design office focused on R&D, prototyping, and software development.

About the Position:

ClearVision will give you the opportunity to be an important member of a dynamic multi-disciplinary design team. The Computer Vision Developer will create and improve Machine Vision algorithms for new and existing products. The position consists of the full development cycle from concept to development, to field testing and deployment.

The position will also involve direct communication with the field service engineers, writing basic documentation and providing office hours support to customers and field service engineers.

Some travel is expected for this position to assist with product development. You will work with the ClearVision team in Vancouver as well as with Valco Melton engineers around the world. ClearVision has a social and supportive work environment with organized lunches and other employee events.

Note: this position will be based 100% in-office at the ClearVision office in downtown Vancouver.

Duties & Responsibilities:

Development of Machine Vision algorithms that are efficient and robust.
Working with other Software and Mechatronics developers to produce a comprehensive quality assurance solution.
Testing of algorithms in an industrial environment.

Required Experience:

4+ years of Machine Vision programming experience.
2+ years working in industry.
2+ years of either C++ or C# experience.
2+ years of OpenCV experience.
2+ years of Machine Learning.

Required Competencies:

Ability to create reliable machine vision algorithms that work well under varying lighting and imaging conditions.
Ability to use creative ideas to design fast and well-optimized algorithms.
Ability to create and train datasets to produce robust models that can be deployed to customer sites.

Preferred Competencies:

Visual Studio.
Git, source code revision control.
Lighting and imaging understanding.

Preferred Personal Skills:

Good communication skills.
Willingness to travel.
Good troubleshooting and problem solving.
Customer oriented.
Driver's license class 5.

Education:

Bachelor’s degree in engineering- or science-related field.
Master’s degree preferred.",[]
Staff AI/ML Engineer - Vision Systems,Musashi Americas ,,,"About the job
Musashi AI North America, Inc. is a growing hardware and software focused company that builds smart vision solutions for quality assurance in manufacturing environments. Based in Waterloo, Ontario, Musashi AI North America employs a talented and dynamic team of R&D and Applications Engineers who lead design, prototyping, and testing efforts to drive new technology development, build innovative products, and support our deployed solutions. Staff AI Engineer The Staff AI Engineer will lead the development, deployment, integration, and ongoing maintenance of AI/ML solutions across the organization. This role focuses on transitioning AI/ML research and prototypes into robust, scalable production systems while ensuring continuous operation, performance optimization, and adaptability to evolving business needs. As a senior technical leader, the Staff AI Engineer will collaborate with cross-functional teams including optics, electrical and robotics, and dashboard analytics, and will influence strategic initiatives that drive cost reduction, productivity improvements, and long-term value. Reports to: Director of Engineering Qualifications:

Bachelor’s degree or higher in Computer Science, Software Engineering, Math, or a related field.
8+ years of experience designing, deploying, and maintaining AI/ML solutions in production environments, including 3+ years in technical leadership or architecture roles.
Deep experience with state-of-the-art computer vision algorithms and their real-world applications.
Proficiency in Python, C, C++, and libraries such as OpenCV and CUDA.
Expertise with frameworks such as TensorFlow and/or PyTorch.
Experience productizing ML models with tools like CUDA, TensorRT, TFLite, and model quantization.
Strong understanding of edge computing technologies (e.g., Nvidia GPUs) and cloud computing platforms.
Proven ability to create, manage, and deploy deep learning datasets for computer vision tasks.
Experience in industrial automation, automated inspection systems, or robotics is a strong asset.
Strong mathematical, analytical, and problem-solving skills.
Demonstrated ability to lead, mentor, and collaborate effectively in a team environment. Job Responsibilities:
Lead the end-to-end deployment and integration of AI/ML models into production systems with a focus on scalability, performance, and robustness.
Translate computer vision research and IP into production-ready, maintainable systems.
Oversee maintenance and performance monitoring of deployed systems, ensuring minimal downtime and continuous improvement.
Define and test models against production metrics and business KPIs.
Conduct applied research to support product development and troubleshoot production issues.
Provide strategic guidance on project planning, cost, risk management, and deployment feasibility.
Monitor and evaluate new trends and technologies in AI/ML to guide internal strategy and tool adoption.
Present project updates, performance metrics, and future plans to internal stakeholders and leadership.
Mentor junior engineers and foster best practices across AI/ML and engineering teams.
Travel to client and Musashi locations as needed for project execution and collaboration. Preferred Skills:
Familiarity with CI/CD pipelines and MLOps practices for deploying and updating ML systems.
Experience with system monitoring, alerting, and observability tools for production AI.
Understanding of cybersecurity best practices for ML systems in industrial environments. Personal Attributes:
Creative and analytical thinker with a proactive and solution-oriented mindset.
Strong time management and organizational skills.
Confident communicator who can convey complex technical ideas across teams.
Professional, mature, and composed under pressure.
Initiative-driven and comfortable leading through ambiguity.
Collaborative and respectful team member who uplifts peers and contributes to team culture. Musashi AI North America Expectations:
Uphold company values, policies, and ethical standards.
Be a champion of the Musashi Philosophy and 5S principles.
Maintain adherence to all safety protocols and procedures.
Contribute to the achievement of company and departmental goals.
Engage constructively with peers and cross-functional collaborators. Please note: This job description is not exhaustive. Duties and responsibilities may change at any time based on business needs. Come Join Us - ""Go Far Beyond"" We're inspired by passionate people who believe in thinking smart and working hard in a harmonious atmosphere to achieve the work they love to fuel the company's global growth. In Musashi's Monozukuri culture, we offer an open environment where you can have fun, collaborate and share your unique ideas to make a real business impact on our company and to our customers. We are an equal opportunity employer and committed to supporting a culture of diversity and accessibility across the organization. We hire the best talent regardless of race, colour, creed, national origin, ancestry, disability, marital status, age, sex, veteran status or sexual orientation. Please indicate if you require special accommodation to complete any portion of the application or interview process.",[]
