Job Title,Company,City,Work Mode,Description,Skills
Full Stack LLM Engineer,Cerebras Systems,,,"About the job
Cerebras Systems builds the world's largest AI chip, 56 times larger than GPUs. Our novel wafer-scale architecture provides the AI compute power of dozens of GPUs on a single chip, with the programming simplicity of a single device. This approach allows Cerebras to deliver industry-leading training and inference speeds and empowers machine learning users to effortlessly run large-scale ML applications, without the hassle of managing hundreds of GPUs or TPUs. 
Cerebras' current customers include global corporations across multiple industries, national labs, and top-tier healthcare systems. In January, we announced a multi-year, multi-million-dollar partnership with Mayo Clinic, underscoring our commitment to transforming AI applications across various fields. In August, we launched Cerebras Inference, the fastest Generative AI inference solution in the world, over 10 times faster than GPU-based hyperscale cloud inference services.
 About the Role
We are seeking a versatile and experienced engineer to join our Inference Core Model Bringup team. This team is responsible to rapidly bring up state-of-the-art open-source models (like LLaMA, Qwen, etc) or customer-provided proprietary models on our Cerebras CSX systems. Success in this role requires a system-minded generalist who thrives in fast-paced bringup environments and is comfortable working across the entire Cerebras software stack.
Your work will play a critical role in achieving unprecedented levels of performance, efficiency, and scalability for AI applications.
Responsibilities
Contribute to the end-to-end bring up of ML models on Cerebras CSX systems.
Work across the stack: model architecture translation, graph lowering, compiler optimizations, runtime integration, and performance tuning.
Debug performance and correctness issues spanning model code, compiler IRs, runtime behavior, and hardware utilization.
Propose and prototype improvements across tools, APIs, or automation flows to accelerate future bring ups.
Skills & Qualifications
Bachelor’s, Master’s, or PhD in Computer Science, Engineering, or a related field.
Comfort navigating the full AI toolchain: Python modeling code, compiler IRs, performance profiling, etc.
Strong debugging skills across performance, numerical accuracy, and runtime integration.
Experience with deep learning frameworks (e.g., PyTorch, TensorFlow) and familiarity with model internals (e.g., attention, MoE, diffusion).
Proficiency in C/C++ programming and experience with low-level optimization.
Proven experience in compiler development, particularly with LLVM and/or MLIR.
Strong background in optimization techniques, particularly those involving NP-hard problems.
What We Offer
Competitive salary and benefits package.
Opportunities for professional growth and career advancement.
A dynamic and innovative work environment.
The chance to work on cutting-edge technologies and make a significant impact on the future of AI.
  Why Join Cerebras
People who are serious about software make their own hardware. At Cerebras we have built a breakthrough architecture that is unlocking new opportunities for the AI industry. With dozens of model releases and rapid growth, we’ve reached an inflection point in our business. Members of our team tell us there are five main reasons they joined Cerebras:
Build a breakthrough AI platform beyond the constraints of the GPU.
Publish and open source their cutting-edge AI research.
Work on one of the fastest AI supercomputers in the world.
Enjoy job stability with startup vitality.
Our simple, non-corporate work culture that respects individual beliefs.
Read our blog: Five Reasons to Join Cerebras in 2025.
Apply today and become part of the forefront of groundbreaking advancements in AI!
Cerebras Systems is committed to creating an equal and diverse environment and is proud to be an equal opportunity employer. We celebrate different backgrounds, perspectives, and skills. We believe inclusive teams build better products and companies. We try every day to build a work environment that empowers people to do their best work through continuous learning, growth and support of those around them.
This website or its third-party tools process personal data. For more details, click here to review our CCPA disclosure notice.",[]
Full-Stack Software Engineer - LLM,fiveonefour,Canada,Remote,"About the job
About Fiveonefour

We love data and analytics. And we love building software. But in our experience, to do anything exciting at scale with data/analytics, you have to leave the warm, cozy world of software development and enter the specialized workflows, tools, and technologies of the data engineering ecosystem—no more. We’re on a mission to democratize data and bring incredible software developer experiences to the data & analytics stack. In the future we’re building, ANY software developer (human or agentic) can build world-class data-driven experiences – quickly and intuitively, as a native part of their core software development experience.

We’re experienced founders with a track record of success in developer tooling and enterprise software. We have a remote-first team of 15+ backed by incredible investors, and we’re building a high-performance culture that's demanding but flexible. We’re still small but growing quickly, and joining at this time gives you a tremendous opportunity to help shape the company's culture and long-term future.

A note about our job descriptions. We’ve written tons of JDs in our careers and wanted to try something new. We believe that everyone on the team deserves to have a great relationship with their manager. Our hiring managers write their job posts, choose their words intentionally, and use this as an opportunity to open up a dialogue.

The role

We aim to enhance the team's proficiency in working with LLMs. In this role, you will contribute to building AI tools that will change how developers work and empower users to access, manage, and transform data in new ways.

I am looking for a generalist who can hold his/her own across the stack. Someone who could both build a chat interface in React or devise a context management system for a RAG application.

With the rise of AI in software development, the speed of delivery has increased drastically, and so has the number of iterations on what it means to interact with models and how a software engineering job can be done. This is a highly demanding role that requires staying up-to-date with the latest trends to have a chance of making an impact.

What To Expect From Me

I am both a player and a coach for engineering team. I roll up my sleeves and care a lot about my craft. I am pragmatic, I spend my innovation chips deliberately, and will encourage you to do the same. I love learning, and I am always eager to read the latest trends and best practices. Engineering is a team sport; the best technical architectures and designs come out of tight collaborations between team members. I will challenge your designs, encourage you to hone your craft, expect you to ship code to production often, and eventually expect you to coach more junior engineers as the team grows.

What To Expect From Your Peers

You will collaborate closely with product, design and the rest of the engineering team during this exciting growth phase. The team is a set of ambitious and pragmatic individuals who value each other's well-being. We embrace the energy of a startup environment, the grit it requires, and our diverse backgrounds and experiences enrich our collaboration. Many of us are parents and appreciate the flexibility to support our families, which we extend to all team members.

As we expand, you will be joined by other talented individuals eager to tackle challenges and achieve success together.

Responsibilities

Build, Maintain, and Operate the Aurora set of tools of Fiveonefour
Contribute to the architecture and structure of our Aurora codebases.
Review and contribute to other engineers' designs and code
Collaborate with Product and Design to make the web products come to life
Participate in the recruitment process
Mentor more junior team members
Represent the company at industry events and conferences

Qualifications

Must haves:

Robust architectural and software design skills
Demonstrated Experience building with LLMs
Good communication skills
Robust coding skills in TypeScript
Familiarity with React front ends
Strong ability to learn new skills and adapt quickly
Undaunted by a fast-paced, entrepreneurial environment 
Comfortable operating in ambiguity, building systems, and making sense of what others might consider chaos

Nice To Haves

Rust Experience
Kubernetes Experience
Data Engineering Exposure through products that you worked on or hands-on experience

If you're looking for a challenging role and are excited to build a company from the ground up, please apply!",[]
Machine Learning Engineer,Harnham,"Toronto, ON",Hybrid,"About the job
Machine Learning Engineer – LLM Focus
Location: Toronto
Salary: $115,000 – $130,000 base + 15% Bonus



Company Overview:
Join a fast-growing, innovative organization at the forefront of artificial intelligence, committed to pushing boundaries in generative AI and Large Language Models (LLMs). They are solving cutting-edge problems with scalable machine learning and deploying solutions across industries.


Role Overview:
As a Senior Machine Learning Engineer with a specialization in LLMs, you will play a pivotal role in architecting, building, and deploying high-impact machine learning systems. You’ll collaborate cross-functionally with data scientists, research engineers, and business stakeholders to drive real-world applications of advanced AI.



Key Responsibilities:
Lead development of ML/LLM solutions for tasks like summarization, classification, Q&A, and RAG.
Collaborate on transformer models (e.g., GPT, LLaMA, Claude, Mistral).
Fine-tune and optimize pre-trained LLMs using best practices.
Build and maintain ML pipelines with MLFlow, Airflow, or Kubeflow.
Partner with MLOps/DevOps to ensure scalable, secure production systems.
Deploy models using Docker, Kubernetes, and serving frameworks (e.g., TensorFlow Serving, TorchServe, FastAPI).
Implement model versioning, blue-green/canary deployments, and performance monitoring.
Develop scalable data pipelines for text and embeddings.
Stay up to date with LLM/AI research and apply findings to real-world problems.
Document workflows and support knowledge sharing across the team.



Required Qualifications:
MSc or PhD in Computer Science, Machine Learning, Engineering, Mathematics, or related STEM field.
Proven experience with LLMs and transformer-based architectures (e.g., BERT, RoBERTa, GPT, T5).
Expertise in developing and deploying ML models in production environments.
Strong Python programming skills; familiarity with ML/AI libraries (Hugging Face Transformers, TensorFlow, PyTorch).
Experience with cloud platforms (AWS preferred), container orchestration (Kubernetes), and distributed data processing (Apache Spark, Kafka).
Hands-on experience with ML tools including MLFlow, Airflow, and experiment tracking systems.
Solid understanding of DevOps and CI/CD pipelines for ML systems.
Strong communication skills with the ability to articulate technical details to non-technical stakeholders.




Preferred Experience:
Experience in retrieval-augmented generation (RAG), vector databases (e.g., Pinecone, FAISS, Weaviate), and embedding models.
Exposure to open-source LLM deployment frameworks like LangChain or LlamaIndex.
Knowledge of reinforcement learning from human feedback (RLHF), prompt engineering, and evaluation metrics for generative models.
Prior work in regulated or high-security environments (finance, healthcare, etc.) is a plus.



Compensation and Benefits:
Base Salary: $115,000 – $130,000
15% Annual Bonus
hybrid work setup
Generous benefits package including health, dental, and vision insurance
Professional development budget and opportunities to attend top AI conferences



How to Apply:
To express your interest in this opportunity, please submit your CV via the ""Apply"" link on this page. We look forward to hearing from you!",[]
Senior Engineer - Large Language Model Training,Huawei Canada,,,"About the job
Huawei Canada has an immediate permanent opening for a Senior Engineer.

About the team:

The Centre for Software Excellence Lab conducts pioneering research in software engineering, focusing on next-generation technologies. This team integrates industry best practices with cutting-edge academic research to address lifecycle software engineering challenges, including foundation model applications, software performance engineering, hyper-cluster programming, next-gen mobile OS, and cloud-native computing. This lab uniquely allows researchers to apply innovations directly to products affecting billions of customers while promoting open-source contributions, publications, conference participation, and collaborations to create a broader impact.

About the job:

Research and experimentation to enhance reasoning and code generation capabilities in LLMs, with end-to-end ownership from ideation through evaluation to deployment.
Design and iterate on training pipelines, fine-tuning strategies, and data generation workflows; conduct rigorous analysis to validate improvements.
Stay current with cutting-edge developments in LLMs, reinforcement learning, and software engineering; apply relevant advances to production-scale systems.
Author and publish high-impact research papers in leading software engineering conferences and relevant AI/ML venues.
Collaborate with other Researchers and Engineers to translate research findings into prototypes, tools, or impactful contributions to the field.
Contribute to the broader research community through activities such as peer review, open-sourcing code/datasets, and mentoring junior researchers (if applicable).

Job requirements

About the ideal candidate:

PhD/Master in Computer Science, Software Engineering, or a closely related field.
Demonstrated strong publication record in premier software engineering conferences and journals, specifically on topics related to LLMs for Software Engineering (LLM4SE), or improving the software engineering capabilities of LLMs.
Publications in top-tier AI/ML conferences with direct applicability to SE is an asset.
Hands-on experience with deep learning frameworks (e.g., PyTorch, TensorFlow, JAX) and associated MLOps tools, familiary with running experiments on large scale distributed clusters with frameworks like Ray, openRLHF, veRL.
Deep understanding of Large Language Models, including their architectures (e.g., Transformers), training/fine-tuning techniques (e.g., pre-training, instruction tuning, RLHF), prompting strategies, and evaluation methodologies.
Proficiency in programming languages commonly used in ML/SE research (e.g., Python).
Strong analytical, problem-solving, and critical thinking skills, with the ability to conduct independent research.
Excellent written and verbal communication skills, with the ability to clearly articulate complex technical ideas and research findings.
A passion for innovation and a drive to make significant research contributions at the intersection of LLMs and Software Engineering.",[]
Research Engineer - MLLM Serving Optimization,Huawei Canada,,,"About the job
Huawei Canada has an immediate permanent opening for a researcher.

About the team:

The Intelligent Cloud Infrastructure Lab aims to innovate technologies, algorithms, systems, and platforms for next-generation cloud infrastructure. The lab addresses scalability, performance, and resource utilization challenges in existing cloud services while preparing for future challenges with appropriate technologies and architectures. Additionally, the lab aims to understand industry dynamics and technology trends to create a robust ecosystem.

About the job:

Design, implement, and optimize a high-performance serving platform for MLLMs.
Integrate SOTA open-source serving frameworks such as vLLM, sglang, or lmdeploy.
Develop techniques for efficient resource utilization and low-latency inference for MLLMs in serverless environments.
Optimize memory usage, scalability, and throughput of the serving platform.
Conduct experiments to evaluate and benchmark MLLM serving performance..
Contribute novel ideas to improve serving efficiency and publish findings when applicable.

The base salary for this position ranges from $100,000 to $190,000 depending on education, experience and demonstrated expertise

Job requirements

About the ideal candidate:

Bachelor’s degree or higher in Computer Science, Electrical and Computer Engineering (ECE), or a related field.
Experience with one or more SOTA LLM serving frameworks such as vLLM, sglang, or lmdeploy.
Strong proficiency in PyTorch.
Familiarity with distributed systems, serverless architectures, and cloud computing platforms.
Experience with inference optimization for large-scale AI models.
Familiarity with multimodal architectures and serving requirements.
Previous experience in deploying AI platforms on cloud services.",[]
Software Engineer - LLM Training,CentML,"Toronto, ON",Hybrid,"About the job
About Us

We believe AI will fundamentally transform how people live and work. CentML's mission is to massively reduce the cost of developing and deploying ML models so we can enable anyone to harness the power of AI and everyone to benefit from its potential.

Our founding team is made up of experts in AI, compilers, and ML hardware and has led efforts at companies like Amazon, Google, Microsoft Research, Nvidia, Intel, Qualcomm, and IBM. Our co-founder and CEO, Gennady Pekhimenko, is a world-renowned expert in ML systems who holds multiple academic and industry research awards from Google, Amazon, Facebook, and VMware.

About The Position

We are seeking highly crafted and motivated software engineers to join our team to empower AI practitioners to develop AI models on CentML Platform, productively and affordably. If you have launched multi-node distributed training jobs before and experienced firsthand how painful and cumbersome to get it functional, let alone high-performing, and you wanna be part of the team that derives solutions to address this challenge so that other AI practitioners wouldn’t feel the same pain that you had, please come and join us!

What You’ll Do

Design and implement highly efficient distributed training systems for large-scale deep learning models
Optimize parallelism strategies to improve performance and scalability across hundreds or thousands of GPUs
Develop low-level systems components and algorithms to maximize throughput and minimize memory and compute bottlenecks
Productionize the training systems onto CentML Platform
Collaborate with researchers and engineers to productionize cutting-edge model architectures and training techniques
Contribute to the design of APIs, abstractions and UX that make it easier to scale models while maintaining usability and flexibility
Profile, debug, and tune performance at the system, model, and hardware levels
Participate in design discussions, code reviews, and technical planning to ensure the product aligns with business goals
Stay up to date with the latest advancements in large-scale model training and help translate research into practical, robust systems


What You’ll Need To Be Successful

Bachelor’s, Master’s, or PhD’s degree in Computer Science/Engineering, Software Engineering, related field or equivalent working experience
3+ years of experience in software development, preferably with Python and C++
Deep understanding of machine learning pipelines and workflows, distributed systems, parallel computing, and high-performance computing principles
Hands-on experience with large-scale training of deep learning models using frameworks like PyTorch, Megatron Core, DeepSpeed
Experience optimizing compute, memory, and communication performance in large model training workflows
Familiarity with GPU programming, CUDA, NCCL, and performance profiling tools
Solid grasp of deep learning fundamentals, especially as they relate to transformer-based architectures and training dynamics
Experience working with cloud platforms (AWS, GCP, or Azure) and containerization tools (Docker, Kubernetes)
Ability to work closely with both research and engineering teams, translating evolving needs into robust infrastructure
Excellent problem-solving skills, with the ability to debug complex systems
A passion for building high-impact tools that push the boundaries of what’s possible with large-scale AI


Bonus points if you have

Experience building tools or platforms for ML model training or fine-tuning
Experience building backends (e.g., using FastAPI) and frontend (e.g., using React)
Experience building and optimizing LLM inference engines (e.g., vLLM, SGLang)
Exposure to DevOps practices, CI/CD pipelines, and infrastructure as code
Familiarity with MLOps concepts, including model versioning and serving


Benefits & Perks

 An open and inclusive work environment
 Employee stock options
 Best-in-class medical and dental benefits
 Parental Leave top-up
 Professional development budget
 Flexible vacation time to promote a healthy work-life blend


We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability, and any other protected ground of discrimination under applicable human rights legislation.

CentML strives to respect the dignity and independence of people with disabilities and is committed to giving them the same opportunity to succeed as all other employees.

Inclusiveness is core to our culture at CentML, and we strive to ensure you get the most from your interview experience. CentML makes reasonable accommodations for applicants with disabilities. If a reasonable accommodation is needed to participate in the job application or interview process, please reach out to the Talent team.",[]
Développeur de logiciels d'intelligence artificielle,MaintainX,,,"About the job
MaintainX est la plus importante plateforme au monde en matière de gestion des actifs et d'intelligence du travail pour les environnements industriels et de première ligne. Nous sommes un outil moderne basé sur le cloud, équipé d'objets connecté, conçu pour la fiabilité, la sécurité et les opérations sécuritaire du matériel et des installations physiques. MaintainX alimente l'excellence opérationnelle pour plus de 11,000+ entreprises, notamment Duracell, Univar Solutions Inc, Titan America, McDonald's, Brenntag, Cintas, Xylem et Shell.

Nous avons récemment conclu un financement de série D de 150 millions de dollars, ce qui porte notre financement total à 254 millions de dollars et valorise l'entreprise à 2,5 milliards de dollars

Nous recherchons un ingénieur logiciel ayant de l'expérience dans le développement d'applications alimentées par l'IA et utilisant les LLM. Vous allez concevoir et déployer des fonctionnalités intelligentes qui s'intègrent aux applications web et aux systèmes back-end. Vous travaillerez en étroite collaboration avec les équipes de produits et d'ingénierie pour construire des solutions évolutives et prêtes pour la production. Ce rôle combine le développement full-stack avec des capacités d'IA de pointe.

Ce Que Vous Ferez

Concevoir, développer et déployer des applications alimentées par l'IA en utilisant des LLM et d'autres modèles pour résoudre des problèmes commerciaux complexes.
Assurer l'intégration transparente des modèles d'IA avec les applications web et les services dorsaux.
Mettre en œuvre et optimiser les algorithmes en termes de performances et d'évolutivité, afin de garantir l'efficacité des solutions de bout en bout.
Collaborer avec les chefs de produit, les concepteurs et les ingénieurs pour définir les exigences du produit et intégrer les capacités d'IA dans les applications destinées aux clients.
Contribuer aux meilleures pratiques d'ingénierie, y compris la qualité du code, la sécurité et les processus de déploiement.
Être sur appel.

À Propos De Vous

Expérience confirmée dans la mise en œuvre d'applications alimentées par des LLM, y compris l'ingénierie d'invite, les mécanismes de recherche, les flux de travail agentiques et l'intégration de sources de connaissances externes.
Plus de 3 ans d'expérience professionnelle dans le développement de logiciels complets, dont plus d'un an d'expérience de travail avec des LLM.
Solides compétences en programmation en Python et/ou JavaScript/TypeScript, avec une expérience dans l'utilisation de frameworks LLM tels que LlamaIndex, LangChain et LangGraph.
Expérience avec les fournisseurs de cloud (AWS/Azure/GCP) et le déploiement de services d'IA à l'échelle.
Connaissance des cadres de développement web modernes (React, Node.js) et de la conception d'API.
Solides compétences en résolution de problèmes, avec la capacité de concevoir des solutions évolutives alimentées par l'IA.
Excellentes compétences en communication pour expliquer des concepts d'IA complexes à des parties prenantes non techniques.
Se tient activement au courant des avancées récentes en matière de LLM et d'IA, y compris les nouveaux modèles, outils et tendances de l'industrie.

Une attention particulière est accordée aux candidats présentant les caractéristiques suivantes:

Création d'applications multimodales.
Mise en œuvre de garde-fous et de pipelines d'évaluation pour les applications basées sur le LLM.
Compétences en matière d'entraînement, d'ajustement, d'optimisation et de déploiement de modèles linguistiques.

Quels sont les avantages pour vous?:

Un salaire compétitif et des opportunités d'équité significatives.
Couverture des soins de santé, des soins dentaires et de la vue.
Programme d'inscription 401(k) / RRSP.
Prenez les congés dont vous avez besoin.
Une culture du travail où :
Vous travaillerez aux côtés de personnes du monde entier qui reflètent les valeurs de MaintainX : Intelligents, Humbles, Optimistes.
Nous croyons en la méritocratie, où les idées et les efforts sont publiquement célébrés.
Qui Sommes-nous

Notre mission est de faciliter la vie des ouvriers dans le monde entier en créant des logiciels qui répondent à leurs besoins et à leurs réalités. Notre produit change véritablement la vie de 80% de la population active qui ne travaille pas derrière un bureau et qui a besoin d'un logiciel d'entreprise à portée de main.

MaintainX s'engage à créer un environnement diversifié. Tous les candidats qualifiés seront pris en considération pour un emploi sans considération de race, de couleur, de religion, de sexe, d'identité ou d'expression de genre, d'orientation sexuelle, d'origine nationale, de génétique, d'invalidité, d'âge ou de statut d'ancien combattant.",[]
Staff AI Engineer - AI Platform,ClickUp,Canada,Remote,"About the job
ClickUp is revolutionizing the way the world works. As the only all-in-one productivity platform built from day one for true convergence, ClickUp unifies tasks, docs, chat, calendar, enterprise search, and more—supercharged by context-driven AI. While others scramble to bundle fragmented tools or bolt on AI, we anticipated this future and made it our foundation from the start. Headquartered in San Diego with a rapidly expanding global footprint, we empower over three million teams to break free from silos and reclaim their time—saving at least one day every week. Join ClickUp, one of the fastest-growing SaaS companies on the planet, and help millions of users transform the way they work. We’re not just building software. We’re shaping the future of work. Come join us in building the future—together. 🦄
 Role Overview:

We are seeking a highly skilled and experienced Staff AI Engineer – AI Platform to join our ClickUp Engineering team. In this role, you will play a critical part in both building the core AI platform and directly applying large language models (LLMs) to deliver intelligent features across ClickUp. You will focus on backend systems that enable scalable, reliable, and secure AI-powered capabilities, while also working hands-on with LLMs to solve real user problems and drive product innovation.

Key Responsibilities:


Architect, design, and implement scalable AI platform services that support the deployment, orchestration, and lifecycle management of LLMs and other AI models.

Apply LLMs and other AI technologies directly to build and enhance ClickUp’s intelligent features, working closely with product and engineering teams to deliver impactful solutions.

Build and maintain robust APIs and backend systems that enable seamless integration of AI-powered features into ClickUp’s core platform.

Develop infrastructure for model serving, monitoring, logging, and automated evaluation to ensure high reliability and performance of AI services in production.

Integrate with multiple LLM providers (e.g., OpenAI, Anthropic, Google) and manage model selection, routing, and fallback strategies for optimal performance and cost.

Drive the adoption of best practices in AI privacy, security, and compliance, including data anonymization, secure data handling, and regulatory adherence.

Optimize platform performance, scalability, and cost-efficiency, leveraging cloud-native technologies and distributed systems.

Stay current with advancements in AI infrastructure, MLOps, and LLM applications, and proactively incorporate relevant innovations into ClickUp’s AI platform.

Collaborate cross-functionally with product, frontend, and data teams to deliver seamless, reliable, and user-centric AI experiences.


Qualifications:


Extensive experience designing and building scalable AI/ML platforms or infrastructure in a production environment.

Proven track record of applying LLMs and AI models to real-world product features and user-facing solutions.

Deep expertise in backend engineering, distributed systems, and cloud-native technologies (e.g., Kubernetes, Docker, AWS/GCP/Azure).

Proven experience integrating and managing multiple LLMs and AI models, with a strong understanding of their operational requirements and limitations.

Proficiency in orchestration frameworks and workflow engines (e.g., LangGraph, Airflow, Kubeflow, Ray, or similar).

Strong programming skills in Python, Go, TypeScript or similar languages used for backend and AI platform development.

Experience with MLOps best practices, including model deployment, monitoring, logging, and automated evaluation.

Demonstrated ability to address AI privacy and security challenges, including data anonymization and compliance with data protection regulations.

Familiarity with search technologies and their integration into AI-driven applications.

Excellent collaboration and communication skills, with a track record of working effectively in cross-functional teams.

Passion for staying at the forefront of AI infrastructure and applying new technologies to solve real-world problems at scale.




  

Unsure if you meet all the qualifications of this job description but are deeply excited about the role? We hire based on ambition, grit, and a passion for improving the way people work. If you think ClickUp is the company for you, we encourage you to apply!

At ClickUp, we assess every candidate based on the potential impact they can have. We hire the best people for the job and support each person’s journey to build their boldest career.
 
ClickUp is an Equal Opportunity Employer, and qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.

ClickUp collects and processes personal data in accordance with applicable data protection laws.


If you are a European Job Applicant, see our privacy policy for further details.

If you are a Philippine Job Applicant, see our privacy policy and our Philippine Data Privacy Notice for further details. 


Please note we are unable to sponsor or take over sponsorship of an employment visa for roles outside of engineering and product at this time. Sponsorship for engineering and product roles is not guaranteed, but is instead based on the business needs for that specific role at that time. Please reach out to the recruiter with any questions.


ClickUp Talent Acquisition will only initiate contact via an @clickup.com email or through our official careers portal on clickup.com. We will never request fees, payments, or sensitive personal information. Please disregard any offers received outside these channels and report them to support@clickup.com.",[]
LLM Applications Engineer â€“ Industrial Systems,Pani,"Vancouver, BC",Remote,"About the job
About Pani

Pani Energy is made up of a worldclass team of highly motivated individuals who share a mutual passion for the environment. We have created a web-based platform which enables the operators of water treatment facilities to operate their plants more efficiently saving energy, consumables, and the environment. We are excited to tackle challenging problems for the betterment of society. Our workplace environment fosters and encourages both ingenuity and collaboration.

Pani is part of the 2024 Global Cleantech 100 list of companies committed to taking action on the climate crisis for our contribution to accelerating the water sector's transition to net zero, and we are looking for driven, enthusiastic people who share this vision.

Position Description

We’re hiring an engineer to design and build AI workflows using large language models. The role focuses on turning complex operational data and procedures into structured, automated intelligence.

About You

You have a passion for software development. You enjoy the challenge of working on innovative projects with an equally talented group of co-workers who will both challenge and support you. You believe in lifelong learning and welcome the opportunity to constantly iterate and improve upon your skills. Fundamentally, you want to use your talents and energy to better the world for others and contribute to the responsible management of global water and energy, and CO2 reduction.

Who We’re Looking For

 Strong Python developer with experience using LLMs in applied settings
 Familiarity with one or more frameworks: OpenAI API, LangChain, Flowise, AutoGen, etc.
 Able to work across structured data, procedures, and reasoning logic
 understanding of desalination, wastewater and industrial processes
 Bonus: background in industrial systems, process automation, or engineering workflows

What You’ll Work On

 Develop LLM-powered workflows that interact with internal data and tooling
 Build modular components using frameworks like LangChain, Flowise, or similar
 Connect models to structured data sources and utility APIs
 Collaborate across technical and domain teams to bring workflows into real environments

Nice to Have

Experience with B2B sales at any stage within the customer journey
Experience working for a SaaS startup

Does this role sound like the next step in your career?

Then we want to hear from you! If you don’t meet all of our requirements exactly, then we invite you to use your cover letter to tell us about your unique experience - we understand that talent comes from many places and that skills are transferable.

Our commitment to an extraordinary work environment

At Pani, our values drive how we work with each other, and we believe that being yourself at your place of work is just as important as the work you do. We strive to foster an inclusive and diverse community for all employees from all walks of life. So, no matter your gender, sexual orientation, physical ability, religion, ethnicity, race, age, or geographical location, we are a community that welcomes you.

Our Pani Recruitment Team personally reviews each application.",[]
Senior AI Engineer - AI Platform,ClickUp,Canada,Remote,"About the job
ClickUp is revolutionizing the way the world works. As the only all-in-one productivity platform built from day one for true convergence, ClickUp unifies tasks, docs, chat, calendar, enterprise search, and more—supercharged by context-driven AI. While others scramble to bundle fragmented tools or bolt on AI, we anticipated this future and made it our foundation from the start. Headquartered in San Diego with a rapidly expanding global footprint, we empower over three million teams to break free from silos and reclaim their time—saving at least one day every week. Join ClickUp, one of the fastest-growing SaaS companies on the planet, and help millions of users transform the way they work. We’re not just building software. We’re shaping the future of work. Come join us in building the future—together. 🦄
 Role Overview:

We are seeking a highly skilled and experienced Senior AI Engineer – AI Platform to join our ClickUp Engineering team. In this role, you will play a critical part in both building the core AI platform and directly applying large language models (LLMs) to deliver intelligent features across ClickUp. You will focus on backend systems that enable scalable, reliable, and secure AI-powered capabilities, while also working hands-on with LLMs to solve real user problems and drive product innovation.

Key Responsibilities:


Architect, design, and implement scalable AI platform services that support the deployment, orchestration, and lifecycle management of LLMs and other AI models.

Apply LLMs and other AI technologies directly to build and enhance ClickUp’s intelligent features, working closely with product and engineering teams to deliver impactful solutions.

Build and maintain robust APIs and backend systems that enable seamless integration of AI-powered features into ClickUp’s core platform.

Develop infrastructure for model serving, monitoring, logging, and automated evaluation to ensure high reliability and performance of AI services in production.

Integrate with multiple LLM providers (e.g., OpenAI, Anthropic, Google) and manage model selection, routing, and fallback strategies for optimal performance and cost.

Drive the adoption of best practices in AI privacy, security, and compliance, including data anonymization, secure data handling, and regulatory adherence.

Optimize platform performance, scalability, and cost-efficiency, leveraging cloud-native technologies and distributed systems.

Stay current with advancements in AI infrastructure, MLOps, and LLM applications, and proactively incorporate relevant innovations into ClickUp’s AI platform.

Collaborate cross-functionally with product, frontend, and data teams to deliver seamless, reliable, and user-centric AI experiences.


Qualifications:


Extensive experience designing and building scalable AI/ML platforms or infrastructure in a production environment.

Proven track record of applying LLMs and AI models to real-world product features and user-facing solutions.

Deep expertise in backend engineering, distributed systems, and cloud-native technologies (e.g., Kubernetes, Docker, AWS/GCP/Azure).

Proven experience integrating and managing multiple LLMs and AI models, with a strong understanding of their operational requirements and limitations.

Proficiency in orchestration frameworks and workflow engines (e.g., LangGraph, Airflow, Kubeflow, Ray, or similar).

Strong programming skills in Python, Go, TypeScript or similar languages used for backend and AI platform development.

Experience with MLOps best practices, including model deployment, monitoring, logging, and automated evaluation.

Demonstrated ability to address AI privacy and security challenges, including data anonymization and compliance with data protection regulations.

Familiarity with search technologies and their integration into AI-driven applications.

Excellent collaboration and communication skills, with a track record of working effectively in cross-functional teams.

Passion for staying at the forefront of AI infrastructure and applying new technologies to solve real-world problems at scale.




  

Unsure if you meet all the qualifications of this job description but are deeply excited about the role? We hire based on ambition, grit, and a passion for improving the way people work. If you think ClickUp is the company for you, we encourage you to apply!

At ClickUp, we assess every candidate based on the potential impact they can have. We hire the best people for the job and support each person’s journey to build their boldest career.
 
ClickUp is an Equal Opportunity Employer, and qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.

ClickUp collects and processes personal data in accordance with applicable data protection laws.


If you are a European Job Applicant, see our privacy policy for further details.

If you are a Philippine Job Applicant, see our privacy policy and our Philippine Data Privacy Notice for further details. 


Please note we are unable to sponsor or take over sponsorship of an employment visa for roles outside of engineering and product at this time. Sponsorship for engineering and product roles is not guaranteed, but is instead based on the business needs for that specific role at that time. Please reach out to the recruiter with any questions.


ClickUp Talent Acquisition will only initiate contact via an @clickup.com email or through our official careers portal on clickup.com. We will never request fees, payments, or sensitive personal information. Please disregard any offers received outside these channels and report them to support@clickup.com.",[]
